Sample,B. thetaiotaomicron,B. uniformis,E. rectale,L. gasseri,R. torques,S. salivarius
Marty88Er,0.000237001,0.000115723,99.99940512,0.000145725,2.14E-06,9.43E-05
Marty88Lg,0.038096473,0.006764288,2.164572313,97.75449072,0,0.036076205
Marty88Rt,0.773174672,0.828123074,12.47055923,0.101034623,85.13429955,0.692808846
Marty88Ss,0.541867661,0.899818097,22.67728095,0.081503385,0.00414424,75.79538567
Marty881_b,1.193186946,0.000753214,97.97804084,0.407442128,0.019532413,0.401044461
Marty881Plus_b,0.902346008,1.386810291,97.04245394,0.318623159,0.0181621,0.331604505
Marty882_b,1.188998607,0.00097424,97.9020056,0.487408557,0.019514865,0.401098128
Marty882Plus_b,1.081646078,1.759482303,96.26331405,0.429862649,0.019333601,0.44636132
Marty883_b,1.215178032,0.026296609,97.95604143,0.408835038,0.021439274,0.372209612
Marty883Plus_b,0.893631634,1.503839254,96.76444518,0.421518556,0.016612663,0.399952713
