KEGG_ORG	KEGG_UNIPROT	KEGG_GENE	KEGG_PATHWAY	KEGG_EC
csh	D9QZG2	csh:Closa_1830	path:map00010	ec:1.1.1.1
csh	D9R3R2	csh:Closa_4287	path:map00010	ec:1.1.1.1
ecq	B7MU27	ecq:ECED1_1392	path:map00010	ec:1.1.1.1
ecq	B7MUR2	ecq:ECED1_1631	path:map00010	ec:1.1.1.1
ecq	B7N235	ecq:ECED1_4275	path:map00010	ec:1.1.1.1
ecq	B7MPC3	ecq:ECED1_0384	path:map00010	ec:1.1.1.1
ecr		ecr:ECIAI1_1259	path:map00010	ec:1.1.1.1
ecr		ecr:ECIAI1_1482	path:map00010	ec:1.1.1.1
ecr		ecr:ECIAI1_3757	path:map00010	ec:1.1.1.1
ecr		ecr:ECIAI1_0357	path:map00010	ec:1.1.1.1
lpl		lpl:lp_2873	path:map00010	ec:1.1.1.1
lpl		lpl:lp_1665	path:map00010	ec:1.1.1.1
lpl		lpl:lp_3662	path:map00010	ec:1.1.1.1
lpl		lpl:lp_0082	path:map00010	ec:1.1.1.1
lla		lla:L190278	path:map00010	ec:1.1.1.1
lla		lla:L13145	path:map00010	ec:1.1.1.1
lla		lla:L55758	path:map00010	ec:1.1.1.1
stj		stj:SALIVA_1949	path:map00010	ec:1.1.1.1
stj		stj:SALIVA_1195	path:map00010	ec:1.1.1.1
csh	D9R8T4	csh:Closa_1306	path:map00010	ec:1.1.1.27
lpl		lpl:lp_0537	path:map00010	ec:1.1.1.27
lpl		lpl:lp_2349	path:map00010	ec:1.1.1.27
lpl		lpl:lp_1101	path:map00010	ec:1.1.1.27
lpl		lpl:lp_1245	path:map00010	ec:1.1.1.27
lpl		lpl:lp_0350	path:map00010	ec:1.1.1.27
lla		lla:L0017	path:map00010	ec:1.1.1.27
lla		lla:L0018	path:map00010	ec:1.1.1.27
lla		lla:L142159	path:map00010	ec:1.1.1.27
stj		stj:SALIVA_1275	path:map00010	ec:1.1.1.27
stj		stj:SALIVA_0655	path:map00010	ec:1.1.1.27
csh	D9R617	csh:Closa_0829	path:map00010	ec:1.2.1.12
ecq	B7MVR0	ecq:ECED1_1984	path:map00010	ec:1.2.1.12
ecq	B7MUK6	ecq:ECED1_1574	path:map00010	ec:1.2.1.12
ecr		ecr:ECIAI1_1843	path:map00010	ec:1.2.1.12
ecr		ecr:ECIAI1_1411	path:map00010	ec:1.2.1.12
lpl		lpl:lp_0789	path:map00010	ec:1.2.1.12
lla		lla:L0005	path:map00010	ec:1.2.1.12
lla		lla:L0004	path:map00010	ec:1.2.1.12
stj		stj:SALIVA_1852	path:map00010	ec:1.2.1.12
stj		stj:SALIVA_0805	path:map00010	ec:1.2.1.9
ecq	B7MNX6	ecq:ECED1_0118	path:map00010	ec:1.2.4.1
ecr		ecr:ECIAI1_0112	path:map00010	ec:1.2.4.1
lpl		lpl:lp_2153	path:map00010	ec:1.2.4.1
lpl		lpl:lp_2154	path:map00010	ec:1.2.4.1
lla		lla:L0033	path:map00010	ec:1.2.4.1
lla		lla:L0034	path:map00010	ec:1.2.4.1
stj		stj:SALIVA_1066	path:map00010	ec:1.2.4.1
stj		stj:SALIVA_1067	path:map00010	ec:1.2.4.1
csh	D9QZ44	csh:Closa_1699	path:map00010	ec:1.2.7.1
ecq	B7MUJ3	ecq:ECED1_1561	path:map00010	ec:1.2.7.1
ecr		ecr:ECIAI1_1377	path:map00010	ec:1.2.7.1
lla		lla:L29321	path:map00010	ec:1.2.7.1
csh	D9R7P7	csh:Closa_1168	path:map00010	ec:1.8.1.4
csh	D9R9S8	csh:Closa_1531	path:map00010	ec:1.8.1.4
csh	D9R6J1	csh:Closa_2861	path:map00010	ec:1.8.1.4
ecq	B7MNX8	ecq:ECED1_0120	path:map00010	ec:1.8.1.4
ecq	B7N2R3	ecq:ECED1_4772	path:map00010	ec:1.8.1.4
ecr		ecr:ECIAI1_0114	path:map00010	ec:1.8.1.4
lpl		lpl:lp_2151	path:map00010	ec:1.8.1.4
lla		lla:L0036	path:map00010	ec:1.8.1.4
stj		stj:SALIVA_1069	path:map00010	ec:1.8.1.4
stj		stj:SALIVA_0696	path:map00010	ec:1.8.1.4
ecq	B7MNX7	ecq:ECED1_0119	path:map00010	ec:2.3.1.12
ecr		ecr:ECIAI1_0113	path:map00010	ec:2.3.1.12
lpl		lpl:lp_2152	path:map00010	ec:2.3.1.12
lla		lla:L0035	path:map00010	ec:2.3.1.12
stj		stj:SALIVA_1068	path:map00010	ec:2.3.1.12
stj		stj:SALIVA_0699	path:map00010	ec:2.3.1.12
csh	D9R7H7	csh:Closa_1090	path:map00010	ec:2.7.1.11
csh	D9R3A2	csh:Closa_2274	path:map00010	ec:2.7.1.11
csh	D9R1S5	csh:Closa_0173	path:map00010	ec:2.7.1.11
ecq	B7N2Q7	ecq:ECED1_4618	path:map00010	ec:2.7.1.11
ecq	B7MVA6	ecq:ECED1_1926	path:map00010	ec:2.7.1.11
ecr	B7M6W7	ecr:ECIAI1_4121	path:map00010	ec:2.7.1.11
ecr		ecr:ECIAI1_1781	path:map00010	ec:2.7.1.11
lpl		lpl:lp_1898	path:map00010	ec:2.7.1.11
lla		lla:L0002	path:map00010	ec:2.7.1.11
stj		stj:SALIVA_0891	path:map00010	ec:2.7.1.11
csh	D9R4Q2	csh:Closa_0608	path:map00010	ec:2.7.1.146
csh	D9R4Q2	csh:Closa_0608	path:map00010	ec:2.7.1.147
csh	D9R6T9	csh:Closa_0977	path:map00010	ec:2.7.1.199
csh	D9R0T4	csh:Closa_0090	path:map00010	ec:2.7.1.199
csh	D9QZD9	csh:Closa_1807	path:map00010	ec:2.7.1.199
csh	D9R9E4	csh:Closa_3368	path:map00010	ec:2.7.1.199
csh	D9R8A6	csh:Closa_1255	path:map00010	ec:2.7.1.199
ecq	B7MTN1	ecq:ECED1_1244	path:map00010	ec:2.7.1.199
ecq	B7MV98	ecq:ECED1_1821	path:map00010	ec:2.7.1.199
ecq	B7MZB4	ecq:ECED1_3271	path:map00010	ec:2.7.1.199
ecq	B7MSN4	ecq:ECED1_5002	path:map00010	ec:2.7.1.199
ecq	B7N2C1	ecq:ECED1_4516	path:map00010	ec:2.7.1.199
ecr		ecr:ECIAI1_1137	path:map00010	ec:2.7.1.199
ecr		ecr:ECIAI1_1672	path:map00010	ec:2.7.1.199
csh	D9R0R7	csh:Closa_0073	path:map00010	ec:2.7.1.2
csh	D9R043	csh:Closa_1915	path:map00010	ec:2.7.1.2
ecq	B7MY46	ecq:ECED1_2835	path:map00010	ec:2.7.1.2
ecr	B7M6Q8	ecr:ECIAI1_2454	path:map00010	ec:2.7.1.2
lpl		lpl:lp_1573	path:map00010	ec:2.7.1.2
lla		lla:L84096	path:map00010	ec:2.7.1.2
stj		stj:SALIVA_0781	path:map00010	ec:2.7.1.2
csh	D9R592	csh:Closa_0670	path:map00010	ec:2.7.1.40
ecq	B7MVY5	ecq:ECED1_2059	path:map00010	ec:2.7.1.40
ecq	B7MVF2	ecq:ECED1_1875	path:map00010	ec:2.7.1.40
ecr		ecr:ECIAI1_1927	path:map00010	ec:2.7.1.40
ecr		ecr:ECIAI1_1728	path:map00010	ec:2.7.1.40
lpl		lpl:lp_1897	path:map00010	ec:2.7.1.40
lla		lla:L0003	path:map00010	ec:2.7.1.40
stj		stj:SALIVA_0892	path:map00010	ec:2.7.1.40
csh	D9R3A2	csh:Closa_2274	path:map00010	ec:2.7.1.90
csh	D9R1S5	csh:Closa_0173	path:map00010	ec:2.7.1.90
csh	D9R618	csh:Closa_0830	path:map00010	ec:2.7.2.3
ecq	B7MZL9	ecq:ECED1_3381	path:map00010	ec:2.7.2.3
ecr		ecr:ECIAI1_3046	path:map00010	ec:2.7.2.3
lpl		lpl:lp_0790	path:map00010	ec:2.7.2.3
lla		lla:L0010	path:map00010	ec:2.7.2.3
stj		stj:SALIVA_1850	path:map00010	ec:2.7.2.3
ecq	B7N2M6	ecq:ECED1_4585	path:map00010	ec:3.1.3.10
ecr		ecr:ECIAI1_1046	path:map00010	ec:3.1.3.10
ecr		ecr:ECIAI1_4085	path:map00010	ec:3.1.3.10
lla		lla:L111950	path:map00010	ec:3.1.3.10
csh	D9R5A6	csh:Closa_0685	path:map00010	ec:3.1.3.11
ecq	B7N2R6	ecq:ECED1_4627	path:map00010	ec:3.1.3.11
ecq	B7MTB1	ecq:ECED1_5087	path:map00010	ec:3.1.3.11
ecr		ecr:ECIAI1_4464	path:map00010	ec:3.1.3.11
ecr		ecr:ECIAI1_4130	path:map00010	ec:3.1.3.11
ecr		ecr:ECIAI1_3055	path:map00010	ec:3.1.3.11
lla		lla:L54021	path:map00010	ec:3.1.3.11
csh	D9QZV5	csh:Closa_0011	path:map00010	ec:3.2.1.86
csh	D9R3W1	csh:Closa_0437	path:map00010	ec:3.2.1.86
csh	D9R3Z5	csh:Closa_0471	path:map00010	ec:3.2.1.86
csh	D9R187	csh:Closa_2055	path:map00010	ec:3.2.1.86
csh	D9R3I8	csh:Closa_4207	path:map00010	ec:3.2.1.86
csh	D9RAS8	csh:Closa_3601	path:map00010	ec:3.2.1.86
csh	D9R3Z8	csh:Closa_0474	path:map00010	ec:3.2.1.86
csh	D9R864	csh:Closa_1209	path:map00010	ec:3.2.1.86
ecq	B7MVL3	ecq:ECED1_1936	path:map00010	ec:3.2.1.86
ecq	B7MUU2	ecq:ECED1_1661	path:map00010	ec:3.2.1.86
ecq	B7MZJ9	ecq:ECED1_3360	path:map00010	ec:3.2.1.86
ecq	B7N224	ecq:ECED1_4411	path:map00010	ec:3.2.1.86
ecr		ecr:ECIAI1_1794	path:map00010	ec:3.2.1.86
ecr		ecr:ECIAI1_2808	path:map00010	ec:3.2.1.86
ecr		ecr:ECIAI1_1546	path:map00010	ec:3.2.1.86
ecr		ecr:ECIAI1_3020	path:map00010	ec:3.2.1.86
ecr		ecr:ECIAI1_3901	path:map00010	ec:3.2.1.86
lpl		lpl:lp_2777	path:map00010	ec:3.2.1.86
lpl		lpl:lp_2778	path:map00010	ec:3.2.1.86
lpl		lpl:lp_1401	path:map00010	ec:3.2.1.86
lpl		lpl:lp_0440	path:map00010	ec:3.2.1.86
lpl		lpl:lp_3525	path:map00010	ec:3.2.1.86
lpl		lpl:lp_3526	path:map00010	ec:3.2.1.86
lpl		lpl:lp_3011	path:map00010	ec:3.2.1.86
lpl		lpl:lp_3132	path:map00010	ec:3.2.1.86
lpl		lpl:lp_3629	path:map00010	ec:3.2.1.86
lpl		lpl:lp_3512	path:map00010	ec:3.2.1.86
lpl		lpl:lp_0906	path:map00010	ec:3.2.1.86
lla		lla:L121426	path:map00010	ec:3.2.1.86
lla		lla:L22116	path:map00010	ec:3.2.1.86
lla		lla:L179659	path:map00010	ec:3.2.1.86
lla		lla:L119614	path:map00010	ec:3.2.1.86
lla		lla:L32812	path:map00010	ec:3.2.1.86
lla		lla:L89194	path:map00010	ec:3.2.1.86
stj		stj:SALIVA_1054	path:map00010	ec:3.2.1.86
stj		stj:SALIVA_1702	path:map00010	ec:3.2.1.86
csh	D9R2C7	csh:Closa_2199	path:map00010	ec:4.1.1.49
ecq	B7N136	ecq:ECED1_4063	path:map00010	ec:4.1.1.49
ecr	B7M1V7	ecr:ECIAI1_3544	path:map00010	ec:4.1.1.49
lpl		lpl:lp_3418	path:map00010	ec:4.1.1.49
csh	D9R3Y9	csh:Closa_0465	path:map00010	ec:4.1.2.13
csh	D9R4Q1	csh:Closa_0607	path:map00010	ec:4.1.2.13
csh	D9R886	csh:Closa_1232	path:map00010	ec:4.1.2.13
csh	D9R7R2	csh:Closa_3033	path:map00010	ec:4.1.2.13
csh	D9R1F5	csh:Closa_3967	path:map00010	ec:4.1.2.13
ecq	B7MZL8	ecq:ECED1_3380	path:map00010	ec:4.1.2.13
ecq	B7N298	ecq:ECED1_4343	path:map00010	ec:4.1.2.13
ecq	B7N299	ecq:ECED1_4344	path:map00010	ec:4.1.2.13
ecr		ecr:ECIAI1_3045	path:map00010	ec:4.1.2.13
ecr		ecr:ECIAI1_2171	path:map00010	ec:4.1.2.13
lpl		lpl:lp_0330	path:map00010	ec:4.1.2.13
lla		lla:L0009	path:map00010	ec:4.1.2.13
stj		stj:SALIVA_1958	path:map00010	ec:4.1.2.13
csh	D9R2E2	csh:Closa_2214	path:map00010	ec:4.2.1.11
csh	D9R4E8	csh:Closa_2449	path:map00010	ec:4.2.1.11
ecq	B7MZ75	ecq:ECED1_3232	path:map00010	ec:4.2.1.11
ecr	B7LXJ5	ecr:ECIAI1_2887	path:map00010	ec:4.2.1.11
lpl		lpl:lp_0792	path:map00010	ec:4.2.1.11
lpl		lpl:lp_1920	path:map00010	ec:4.2.1.11
lla		lla:L0007	path:map00010	ec:4.2.1.11
lla		lla:L0008	path:map00010	ec:4.2.1.11
stj		stj:SALIVA_0645	path:map00010	ec:4.2.1.11
ecq	B7MVR1	ecq:ECED1_1985	path:map00010	ec:5.1.3.15
ecr		ecr:ECIAI1_1844	path:map00010	ec:5.1.3.15
csh	D9R0S1	csh:Closa_0077	path:map00010	ec:5.1.3.3
csh	D9R004	csh:Closa_1873	path:map00010	ec:5.1.3.3
ecq	B7MPP0	ecq:ECED1_0717	path:map00010	ec:5.1.3.3
ecq	B7N2M0	ecq:ECED1_4579	path:map00010	ec:5.1.3.3
ecr		ecr:ECIAI1_0724	path:map00010	ec:5.1.3.3
ecr		ecr:ECIAI1_4079	path:map00010	ec:5.1.3.3
lpl		lpl:lp_0826	path:map00010	ec:5.1.3.3
lpl		lpl:lp_1731	path:map00010	ec:5.1.3.3
lpl		lpl:lp_3487	path:map00010	ec:5.1.3.3
lla		lla:L0029	path:map00010	ec:5.1.3.3
lla		lla:L0232	path:map00010	ec:5.1.3.3
stj		stj:SALIVA_1401	path:map00010	ec:5.1.3.3
csh	D9R619	csh:Closa_0831	path:map00010	ec:5.3.1.1
ecq	B7N2R0	ecq:ECED1_4621	path:map00010	ec:5.3.1.1
ecr	B7M6X0	ecr:ECIAI1_4124	path:map00010	ec:5.3.1.1
lpl		lpl:lp_0791	path:map00010	ec:5.3.1.1
lla		lla:L0006	path:map00010	ec:5.3.1.1
stj		stj:SALIVA_0472	path:map00010	ec:5.3.1.1
csh	D9R0Q1	csh:Closa_0057	path:map00010	ec:5.3.1.9
csh	D9R7B6	csh:Closa_3015	path:map00010	ec:5.3.1.9
csh	D9R7B7	csh:Closa_3016	path:map00010	ec:5.3.1.9
ecq	B7MRF7	ecq:ECED1_4740	path:map00010	ec:5.3.1.9
ecr	B7M7T4	ecr:ECIAI1_4250	path:map00010	ec:5.3.1.9
lpl		lpl:lp_2502	path:map00010	ec:5.3.1.9
lla		lla:L0012	path:map00010	ec:5.3.1.9
stj		stj:SALIVA_0191	path:map00010	ec:5.3.1.9
ecq	B7MPN9	ecq:ECED1_0716	path:map00010	ec:5.4.2.11
ecr	B7M6B8	ecr:ECIAI1_0723	path:map00010	ec:5.4.2.11
lpl		lpl:lp_0597	path:map00010	ec:5.4.2.11
lpl		lpl:lp_3170	path:map00010	ec:5.4.2.11
lla		lla:L0011	path:map00010	ec:5.4.2.11
lla		lla:L152977	path:map00010	ec:5.4.2.11
stj		stj:SALIVA_0883	path:map00010	ec:5.4.2.11
csh	D9R620	csh:Closa_0832	path:map00010	ec:5.4.2.12
ecq	B7N258	ecq:ECED1_4298	path:map00010	ec:5.4.2.12
ecq	B7MTE3	ecq:ECED1_5268	path:map00010	ec:5.4.2.12
ecr		ecr:ECIAI1_3785	path:map00010	ec:5.4.2.12
ecr	B7LXV9	ecr:ECIAI1_4620	path:map00010	ec:5.4.2.12
csh	D9R338	csh:Closa_0391	path:map00010	ec:5.4.2.2
csh	D9R792	csh:Closa_2990	path:map00010	ec:5.4.2.2
ecq	B7MPJ4	ecq:ECED1_0670	path:map00010	ec:5.4.2.2
ecr		ecr:ECIAI1_0667	path:map00010	ec:5.4.2.2
lpl		lpl:lp_0764	path:map00010	ec:5.4.2.2
stj		stj:SALIVA_1246	path:map00010	ec:5.4.2.2
ecq	B7N2T6	ecq:ECED1_4797	path:map00010	ec:6.2.1.1
ecr		ecr:ECIAI1_4302	path:map00010	ec:6.2.1.1
ecq	B7N0M1	ecq:ECED1_3886	path:map00020	ec:1.1.1.37
ecr	B7M0U8	ecr:ECIAI1_3378	path:map00020	ec:1.1.1.37
csh	D9R9C5	csh:Closa_3348	path:map00020	ec:1.1.1.42
ecq	B7MTR7	ecq:ECED1_1280	path:map00020	ec:1.1.1.42
ecr		ecr:ECIAI1_1174	path:map00020	ec:1.1.1.42
lla		lla:L71075	path:map00020	ec:1.1.1.42
stj		stj:SALIVA_0802	path:map00020	ec:1.1.1.42
ecq	B7MXP1	ecq:ECED1_2676	path:map00020	ec:1.1.5.4
ecr	B7M5Q1	ecr:ECIAI1_2294	path:map00020	ec:1.1.5.4
ecq	B7MNX6	ecq:ECED1_0118	path:map00020	ec:1.2.4.1
ecr		ecr:ECIAI1_0112	path:map00020	ec:1.2.4.1
lpl		lpl:lp_2153	path:map00020	ec:1.2.4.1
lpl		lpl:lp_2154	path:map00020	ec:1.2.4.1
lla		lla:L0033	path:map00020	ec:1.2.4.1
lla		lla:L0034	path:map00020	ec:1.2.4.1
stj		stj:SALIVA_1066	path:map00020	ec:1.2.4.1
stj		stj:SALIVA_1067	path:map00020	ec:1.2.4.1
ecq	B7MPL9	ecq:ECED1_0695	path:map00020	ec:1.2.4.2
ecr		ecr:ECIAI1_0699	path:map00020	ec:1.2.4.2
csh	D9QZ44	csh:Closa_1699	path:map00020	ec:1.2.7.1
ecq	B7MUJ3	ecq:ECED1_1561	path:map00020	ec:1.2.7.1
ecr		ecr:ECIAI1_1377	path:map00020	ec:1.2.7.1
lla		lla:L29321	path:map00020	ec:1.2.7.1
ecq	B7MPL7	ecq:ECED1_0693	path:map00020	ec:1.3.5.1
ecq	B7MPL8	ecq:ECED1_0694	path:map00020	ec:1.3.5.1
ecr		ecr:ECIAI1_0697	path:map00020	ec:1.3.5.1
ecr		ecr:ECIAI1_0698	path:map00020	ec:1.3.5.1
ecq	B7MSX1	ecq:ECED1_4943	path:map00020	ec:1.3.5.4
ecq	B7MPL7	ecq:ECED1_0693	path:map00020	ec:1.3.5.4
ecq	B7MPL8	ecq:ECED1_0694	path:map00020	ec:1.3.5.4
ecq	B7MSX0	ecq:ECED1_4942	path:map00020	ec:1.3.5.4
ecr		ecr:ECIAI1_4391	path:map00020	ec:1.3.5.4
ecr		ecr:ECIAI1_0697	path:map00020	ec:1.3.5.4
ecr		ecr:ECIAI1_0698	path:map00020	ec:1.3.5.4
ecr		ecr:ECIAI1_4390	path:map00020	ec:1.3.5.4
lpl		lpl:lp_1425	path:map00020	ec:1.3.5.4
lpl		lpl:lp_3491	path:map00020	ec:1.3.5.4
lpl		lpl:lp_1113	path:map00020	ec:1.3.5.4
lla		lla:L137630	path:map00020	ec:1.3.5.4
csh	D9R7P7	csh:Closa_1168	path:map00020	ec:1.8.1.4
csh	D9R9S8	csh:Closa_1531	path:map00020	ec:1.8.1.4
csh	D9R6J1	csh:Closa_2861	path:map00020	ec:1.8.1.4
ecq	B7MNX8	ecq:ECED1_0120	path:map00020	ec:1.8.1.4
ecq	B7N2R3	ecq:ECED1_4772	path:map00020	ec:1.8.1.4
ecr		ecr:ECIAI1_0114	path:map00020	ec:1.8.1.4
lpl		lpl:lp_2151	path:map00020	ec:1.8.1.4
lla		lla:L0036	path:map00020	ec:1.8.1.4
stj		stj:SALIVA_1069	path:map00020	ec:1.8.1.4
stj		stj:SALIVA_0696	path:map00020	ec:1.8.1.4
ecq	B7MNX7	ecq:ECED1_0119	path:map00020	ec:2.3.1.12
ecr		ecr:ECIAI1_0113	path:map00020	ec:2.3.1.12
lpl		lpl:lp_2152	path:map00020	ec:2.3.1.12
lla		lla:L0035	path:map00020	ec:2.3.1.12
stj		stj:SALIVA_1068	path:map00020	ec:2.3.1.12
stj		stj:SALIVA_0699	path:map00020	ec:2.3.1.12
ecq	B7MPM0	ecq:ECED1_0696	path:map00020	ec:2.3.1.61
ecq	B7MSF2	ecq:ECED1_4771	path:map00020	ec:2.3.1.61
ecr		ecr:ECIAI1_0700	path:map00020	ec:2.3.1.61
csh	D9R262	csh:Closa_2133	path:map00020	ec:2.3.3.1
csh	D9R3K5	csh:Closa_4225	path:map00020	ec:2.3.3.1
ecq	B7MPL3	ecq:ECED1_0689	path:map00020	ec:2.3.3.1
ecr		ecr:ECIAI1_0694	path:map00020	ec:2.3.3.1
lla		lla:L67186	path:map00020	ec:2.3.3.1
stj		stj:SALIVA_0801	path:map00020	ec:2.3.3.1
csh	D9R2C7	csh:Closa_2199	path:map00020	ec:4.1.1.49
ecq	B7N136	ecq:ECED1_4063	path:map00020	ec:4.1.1.49
ecr	B7M1V7	ecr:ECIAI1_3544	path:map00020	ec:4.1.1.49
lpl		lpl:lp_3418	path:map00020	ec:4.1.1.49
csh	D9QZV8	csh:Closa_0014	path:map00020	ec:4.2.1.2
csh	D9QZV9	csh:Closa_0015	path:map00020	ec:4.2.1.2
ecq	B7MRC6	ecq:ECED1_4855	path:map00020	ec:4.2.1.2
ecq	B7MV87	ecq:ECED1_1810	path:map00020	ec:4.2.1.2
ecq	B7MV88	ecq:ECED1_1811	path:map00020	ec:4.2.1.2
ecr		ecr:ECIAI1_4352	path:map00020	ec:4.2.1.2
ecr		ecr:ECIAI1_1662	path:map00020	ec:4.2.1.2
ecr		ecr:ECIAI1_1663	path:map00020	ec:4.2.1.2
lpl		lpl:lp_1112	path:map00020	ec:4.2.1.2
csh	D9R263	csh:Closa_2134	path:map00020	ec:4.2.1.3
ecq	B7MNY0	ecq:ECED1_0122	path:map00020	ec:4.2.1.3
ecq	B7MPQ8	ecq:ECED1_0735	path:map00020	ec:4.2.1.3
ecr		ecr:ECIAI1_0116	path:map00020	ec:4.2.1.3
ecr		ecr:ECIAI1_1299	path:map00020	ec:4.2.1.3
ecr		ecr:ECIAI1_0741	path:map00020	ec:4.2.1.3
lla		lla:L68478	path:map00020	ec:4.2.1.3
stj		stj:SALIVA_0800	path:map00020	ec:4.2.1.3
ecq	B7MPM1	ecq:ECED1_0697	path:map00020	ec:6.2.1.5
ecq	B7MPM2	ecq:ECED1_0698	path:map00020	ec:6.2.1.5
ecq	B7N2R4	ecq:ECED1_4773	path:map00020	ec:6.2.1.5
ecq	B7MSF5	ecq:ECED1_4774	path:map00020	ec:6.2.1.5
ecr	B7M5P1	ecr:ECIAI1_0701	path:map00020	ec:6.2.1.5
ecr		ecr:ECIAI1_0702	path:map00020	ec:6.2.1.5
lpl		lpl:lp_2136	path:map00020	ec:6.4.1.1
lla		lla:L63652	path:map00020	ec:6.4.1.1
ecq	B7N1K7	ecq:ECED1_4238	path:map00030	ec:1.1.1.215
ecr	B7M3H6	ecr:ECIAI1_3718	path:map00030	ec:1.1.1.215
ecq	B7MWU7	ecq:ECED1_2378	path:map00030	ec:1.1.1.343
ecr		ecr:ECIAI1_2109	path:map00030	ec:1.1.1.343
lpl		lpl:lp_1251	path:map00030	ec:1.1.1.343
lpl		lpl:lp_1541	path:map00030	ec:1.1.1.343
lla		lla:L53699	path:map00030	ec:1.1.1.343
lla		lla:L0046	path:map00030	ec:1.1.1.343
ecq	B7MVN8	ecq:ECED1_2057	path:map00030	ec:1.1.1.363
ecr		ecr:ECIAI1_1925	path:map00030	ec:1.1.1.363
lpl		lpl:lp_2681	path:map00030	ec:1.1.1.363
lla		lla:L0044	path:map00030	ec:1.1.1.363
ecq	B7MWU7	ecq:ECED1_2378	path:map00030	ec:1.1.1.44
ecr		ecr:ECIAI1_2109	path:map00030	ec:1.1.1.44
lpl		lpl:lp_1251	path:map00030	ec:1.1.1.44
lpl		lpl:lp_1541	path:map00030	ec:1.1.1.44
lla		lla:L53699	path:map00030	ec:1.1.1.44
lla		lla:L0046	path:map00030	ec:1.1.1.44
ecq	B7MVN8	ecq:ECED1_2057	path:map00030	ec:1.1.1.49
ecr		ecr:ECIAI1_1925	path:map00030	ec:1.1.1.49
lpl		lpl:lp_2681	path:map00030	ec:1.1.1.49
lla		lla:L0044	path:map00030	ec:1.1.1.49
ecq	B7MNY6	ecq:ECED1_0128	path:map00030	ec:1.1.5.2
ecr		ecr:ECIAI1_0122	path:map00030	ec:1.1.5.2
stj		stj:SALIVA_0805	path:map00030	ec:1.2.1.9
csh	D9R0P5	csh:Closa_0051	path:map00030	ec:2.2.1.1
csh	D9R0P6	csh:Closa_0052	path:map00030	ec:2.2.1.1
csh	D9R0R6	csh:Closa_0072	path:map00030	ec:2.2.1.1
csh	D9R2J8	csh:Closa_4115	path:map00030	ec:2.2.1.1
csh	D9R2J9	csh:Closa_4116	path:map00030	ec:2.2.1.1
ecq	B7N2C2	ecq:ECED1_4517	path:map00030	ec:2.2.1.1
ecq	B7MYA4	ecq:ECED1_2898	path:map00030	ec:2.2.1.1
ecq	B7MZN3	ecq:ECED1_3397	path:map00030	ec:2.2.1.1
ecr		ecr:ECIAI1_3060	path:map00030	ec:2.2.1.1
ecr		ecr:ECIAI1_2513	path:map00030	ec:2.2.1.1
lpl		lpl:lp_1083	path:map00030	ec:2.2.1.1
lpl		lpl:lp_3135	path:map00030	ec:2.2.1.1
lpl		lpl:lp_3538	path:map00030	ec:2.2.1.1
lla		lla:L0043	path:map00030	ec:2.2.1.1
stj		stj:SALIVA_0473	path:map00030	ec:2.2.1.1
csh	D9R6P3	csh:Closa_0930	path:map00030	ec:2.2.1.2
csh	D9R9N2	csh:Closa_1484	path:map00030	ec:2.2.1.2
ecq	B7MNL6	ecq:ECED1_0008	path:map00030	ec:2.2.1.2
ecq	B7MYA3	ecq:ECED1_2897	path:map00030	ec:2.2.1.2
ecr		ecr:ECIAI1_0009	path:map00030	ec:2.2.1.2
ecr		ecr:ECIAI1_2512	path:map00030	ec:2.2.1.2
lpl		lpl:lp_3539	path:map00030	ec:2.2.1.2
csh	D9R7H7	csh:Closa_1090	path:map00030	ec:2.7.1.11
csh	D9R3A2	csh:Closa_2274	path:map00030	ec:2.7.1.11
csh	D9R1S5	csh:Closa_0173	path:map00030	ec:2.7.1.11
ecq	B7N2Q7	ecq:ECED1_4618	path:map00030	ec:2.7.1.11
ecq	B7MVA6	ecq:ECED1_1926	path:map00030	ec:2.7.1.11
ecr	B7M6W7	ecr:ECIAI1_4121	path:map00030	ec:2.7.1.11
ecr		ecr:ECIAI1_1781	path:map00030	ec:2.7.1.11
lpl		lpl:lp_1898	path:map00030	ec:2.7.1.11
lla		lla:L0002	path:map00030	ec:2.7.1.11
stj		stj:SALIVA_0891	path:map00030	ec:2.7.1.11
ecq	B7MT02	ecq:ECED1_5122	path:map00030	ec:2.7.1.12
ecq	B7N1M7	ecq:ECED1_4111	path:map00030	ec:2.7.1.12
ecr		ecr:ECIAI1_3582	path:map00030	ec:2.7.1.12
lpl		lpl:lp_1250	path:map00030	ec:2.7.1.12
lla		lla:L52019	path:map00030	ec:2.7.1.12
csh	D9R4Q2	csh:Closa_0608	path:map00030	ec:2.7.1.146
csh	D9R028	csh:Closa_1899	path:map00030	ec:2.7.1.15
csh	D9R8T1	csh:Closa_3281	path:map00030	ec:2.7.1.15
csh	D9R8S1	csh:Closa_3271	path:map00030	ec:2.7.1.15
ecq	B7MP66	ecq:ECED1_0326	path:map00030	ec:2.7.1.15
ecq	B7N2J1	ecq:ECED1_4442	path:map00030	ec:2.7.1.15
ecr		ecr:ECIAI1_3936	path:map00030	ec:2.7.1.15
lpl		lpl:lp_0500	path:map00030	ec:2.7.1.15
lpl		lpl:lp_2251	path:map00030	ec:2.7.1.15
lpl		lpl:lp_3660	path:map00030	ec:2.7.1.15
lla		lla:L86157	path:map00030	ec:2.7.1.15
