KEGG_CPD	KEGG_EC	KEGG_FORMULA	KEGG_EXACT_MASS
cpd:C00001	ec:4.2.1.39	H2O	18.0106
cpd:C00001	ec:4.2.1.40	H2O	18.0106
cpd:C00001	ec:4.2.1.41	H2O	18.0106
cpd:C00001	ec:4.99.1.5	H2O	18.0106
cpd:C00001	ec:4.99.1.6	H2O	18.0106
cpd:C00001	ec:4.99.1.7	H2O	18.0106
cpd:C00001	ec:5.1.1.11	H2O	18.0106
cpd:C00001	ec:5.1.1.23	H2O	18.0106
cpd:C00001	ec:5.1.3.14	H2O	18.0106
cpd:C00001	ec:4.4.1.2	H2O	18.0106
cpd:C00001	ec:4.4.1.25	H2O	18.0106
cpd:C00001	ec:4.4.1.28	H2O	18.0106
cpd:C00001	ec:4.4.1.35	H2O	18.0106
cpd:C00001	ec:4.4.1.36	H2O	18.0106
cpd:C00001	ec:4.5.1.2	H2O	18.0106
cpd:C00001	ec:4.5.1.3	H2O	18.0106
cpd:C00001	ec:4.2.1.118	H2O	18.0106
cpd:C00001	ec:4.2.1.119	H2O	18.0106
cpd:C00001	ec:4.2.1.12	H2O	18.0106
cpd:C00001	ec:4.2.1.42	H2O	18.0106
cpd:C00001	ec:4.2.1.43	H2O	18.0106
cpd:C00001	ec:4.2.1.44	H2O	18.0106
cpd:C00001	ec:4.2.1.45	H2O	18.0106
cpd:C00001	ec:4.2.1.46	H2O	18.0106
cpd:C00001	ec:4.2.1.47	H2O	18.0106
cpd:C00001	ec:4.2.1.48	H2O	18.0106
cpd:C00001	ec:4.2.1.49	H2O	18.0106
cpd:C00001	ec:4.2.1.5	H2O	18.0106
cpd:C00001	ec:4.2.1.50	H2O	18.0106
cpd:C00001	ec:4.2.1.51	H2O	18.0106
cpd:C00001	ec:4.2.1.53	H2O	18.0106
cpd:C00001	ec:4.2.1.54	H2O	18.0106
cpd:C00001	ec:4.2.1.55	H2O	18.0106
cpd:C00001	ec:4.2.1.56	H2O	18.0106
cpd:C00001	ec:4.2.1.57	H2O	18.0106
cpd:C00001	ec:4.2.1.59	H2O	18.0106
cpd:C00001	ec:4.2.1.6	H2O	18.0106
cpd:C00001	ec:4.2.1.62	H2O	18.0106
cpd:C00001	ec:4.2.1.65	H2O	18.0106
cpd:C00001	ec:4.2.1.66	H2O	18.0106
cpd:C00001	ec:4.2.1.67	H2O	18.0106
cpd:C00001	ec:4.2.1.68	H2O	18.0106
cpd:C00001	ec:4.2.1.69	H2O	18.0106
cpd:C00001	ec:4.2.1.7	H2O	18.0106
cpd:C00001	ec:4.2.1.70	H2O	18.0106
cpd:C00001	ec:4.2.1.73	H2O	18.0106
cpd:C00001	ec:4.2.1.74	H2O	18.0106
cpd:C00001	ec:4.2.1.75	H2O	18.0106
cpd:C00001	ec:4.2.1.76	H2O	18.0106
cpd:C00001	ec:4.2.1.77	H2O	18.0106
cpd:C00001	ec:4.2.1.78	H2O	18.0106
cpd:C00001	ec:4.2.1.79	H2O	18.0106
cpd:C00001	ec:4.2.1.8	H2O	18.0106
cpd:C00001	ec:4.2.1.80	H2O	18.0106
cpd:C00001	ec:4.2.1.81	H2O	18.0106
