KEGG_ORG	Species2	Species	Species_short
csh	Csaccharolyticum	Clostridium saccharolyticum	C. saccharolyticum
ecq	ED1a	Escherichia coli ED1a	E. coli ED1a
ecr	IAI1	Escherichia coli IAI1	E. coli IAI1
lpl		Lactobacillus plantarum WCFS1	L. plantarum
lla		Lactococcus lactis IL1403	L. lactis
stj		Streptococcus salivarius	S. salivarius
