Control_1	Control_2	Control_3	Control_4	Du_1	Du_2	Du_3	Du_4
D9QZU2	NA	NA	NA	NA	18.4733807388531	19.1665112760056	21.2304614503783	19.6363874274642
D9QZU3	NA	NA	NA	NA	18.6850704190287	19.3943538318738	20.508525989615	19.8167211912338
D9QZU5	NA	15.7813597135247	NA	16.627419886998	18.1727009572007	21.3134056532302	21.7256308670811	21.0088115682566
D9QZU9	18.8230810811328	19.4183344202961	18.4134048043772	19.3493373885964	21.1998232885693	22.1078594235797	21.6974851550156	22.0447022793549
D9QZV0	16.9121642521725	17.301442607355	17.6394820315735	18.247807011935	19.2074576565008	18.8127476410442	19.3497909066921	18.867495938552
D9QZV8	NA	NA	NA	NA	17.0357441751219	NA	20.577546844727	19.2523189444831
D9QZW6	18.5886414450569	19.8652016333372	19.6485682405544	20.1171814316665	20.0642112118638	19.5778602796911	20.3293715311867	NA
D9QZX6	NA	NA	NA	NA	NA	17.3425608565451	17.6024089052057	17.4838472603146
D9QZX7	19.6118749205015	20.2190408644432	19.6063003786788	20.6046726669143	22.3043814042366	22.2952442911314	23.2236287906346	22.2881913198801
D9QZX8	20.6184500297564	18.8903592880548	20.259600759628	20.3722019044857	23.3059125583627	23.5569559660399	25.0171631843496	23.9456560103883
D9QZX9	20.5680191860032	20.5176847646617	20.0896470258228	20.8769515361485	22.05824413636	21.2169707881864	22.3160605137388	22.0652636018372
D9QZY0	NA	19.8990618389514	18.3755570601282	20.208958268135	20.9131290016202	21.5594088343682	21.8279179282074	21.6021370149437
D9QZY1	18.112785640387	20.607294188121	19.0867219521155	20.6490421098445	21.2058600534263	21.5532805464732	20.756702903943	NA
D9QZY2	20.134205695514	20.9066851190364	20.5711712005837	21.653815987076	21.2409194066474	21.5232001190079	22.0411965792628	21.9528350748152
D9QZY3	20.6278295234479	20.9246994407534	20.6066618431445	21.6984181148041	21.2263510380222	22.0442353445771	21.9104597471936	22.6329623701767
D9QZY4	23.2846095050618	23.8938399462174	23.2426211355364	24.173332498493	25.1259708612627	25.5974160905797	26.1109203729438	25.8563098269712
D9QZY5	22.6652049129842	23.0560786841954	22.9298182402355	23.6573097258281	24.4651942087259	24.8501456238278	25.5088161049173	24.8679709470492
D9QZY7	NA	NA	NA	19.5287898377245	19.9068025378039	19.3968848581056	19.7927934710323	19.1010061781217
D9QZY8	NA	NA	NA	NA	17.7314516255788	17.8933252342516	18.6147889118497	18.2183078057027
D9QZZ2	NA	NA	17.522290339334	18.3001916639735	21.1824089028858	20.9317849573516	22.5437795047908	22.2025758390468
D9R007	17.0619196095716	16.4148173446888	16.3140875336159	NA	17.6342438415775	17.9086506239357	21.1577687980224	20.7992278584733
D9R009	19.3203642692993	18.8674657740014	19.8130922400459	21.1082104869811	23.1434685416243	23.48209989616	24.3060516736456	23.7783627287975
D9R010	NA	NA	NA	16.2845530273448	17.7858994096012	16.4217361265575	21.2053231478701	NA
D9R012	NA	NA	NA	NA	14.9599566660768	15.7850948152859	16.4261664572691	15.8461514612322
D9R023	18.6301248965019	17.5845368381988	17.3919651593071	21.1707221691685	22.0634872481867	20.3029601532484	22.0029880258141	21.1413962072765
D9R032	18.7449454928146	18.5229799091906	19.4066326939216	19.895974595205	20.4753613748601	20.7564585933036	21.1871297282245	20.7366133306946
D9R042	24.2832675616181	24.5246234909941	24.3554156239226	25.0914802606442	25.63075926085	25.65099846285	26.4839610117044	26.244397082259
D9R045	18.8768466472001	19.1177141143894	18.6037494810776	18.4738959658556	19.6715203350087	20.7422995664749	20.0668407488004	20.4296151469846
D9R049	NA	18.6089550314868	18.1594574799498	17.7856440314457	23.5399047196718	23.5204930361978	24.0958721524178	23.862967975623
D9R050	18.6149326602659	17.8073800804432	17.7945554785193	18.5961970371693	20.6706389621207	21.078679855994	23.2074695722637	21.4853222579289
D9R054	NA	NA	NA	15.8549657540996	16.5342268787331	NA	17.0814002160902	16.758249244642
D9R062	NA	17.4533831793853	18.4033699225794	NA	NA	18.4906393820969	19.0143256503558	19.4618590959906
D9R077	NA	NA	NA	NA	17.4494388579437	19.3384317273007	18.1343561251102	NA
D9R079	16.9516262216654	16.9631896101589	17.0420654512416	17.4358330106734	19.5176847646617	20.1878546399093	20.9633871951505	19.256978011654
D9R080	NA	NA	NA	NA	16.2687430103822	19.2068855841103	19.6488666208477	18.2074338246796
D9R083	18.959005752031	16.240381417387	17.8733960475143	16.8713518033135	18.5694848022938	19.60492598717	21.6838033499438	18.8721939017561
D9R087	20.7946347975968	20.5436851215491	20.0554995776438	21.1446358399426	24.3957140260154	24.2891909475937	24.8620220701073	23.9187074950248
D9R088	NA	14.3293058282086	NA	14.115693952197	16.2367056166277	16.089781488354	17.4149329300375	16.6957448456801
D9R095	19.514086035729	20.3209151054867	19.4007043574971	20.5419851664731	21.5084776313922	21.5662083006301	22.5495017359737	21.713767424964
D9R096	NA	NA	NA	NA	16.996451420909	17.2949975980048	17.9035406147844	NA
D9R0B1	NA	NA	NA	NA	17.3526814316566	19.2912696437381	18.9157276899971	18.5143750352106
D9R0C6	19.0429738652833	19.1449469600492	18.5564461806274	20.0525839702855	21.5916757357948	22.2473376553142	22.9497932333999	22.1909917216056
D9R0C7	NA	NA	NA	NA	16.5647895796267	17.7276678970276	19.1088868410194	17.99810557172
D9R0C8	NA	NA	NA	16.3498859114691	19.9970030152728	18.8803189111486	21.2222878520951	19.6594454701721
D9R0D0	16.563613382489	NA	NA	17.8703888028333	18.2733949568202	18.0246419058888	18.9702014048656	17.0468682133497
D9R0D7	17.4437853405	17.3940606990546	17.0117077242646	17.4712782916611	18.2841463225022	18.2218042190544	NA	NA
D9R0D9	NA	18.4237806917426	NA	18.98270397307	18.1197415820187	18.3866287635799	18.4163769660895	18.3992862703234
D9R0E1	24.5677291329169	24.8963368389982	24.3588395044978	24.9183890444035	26.2003772125695	26.4848215424035	27.1495747196086	26.9575939678671
D9R0E2	17.5275686377439	18.0888710356431	17.9970581631118	19.789406282795	20.0585414255819	21.5831599141218	22.3943800015509	21.827801661532
D9R0E3	NA	NA	NA	17.7195358853383	16.9845964704049	NA	17.1932558310214	16.238796560542
D9R0G2	NA	17.7289302428116	NA	17.4796697592578	20.714480312205	21.4292064804453	22.0681537221718	21.8286928000153
D9R0G4	17.1140066250491	17.7705606626179	17.0082097500318	18.5653996332837	NA	NA	18.7144467724674	NA
D9R0G6	23.4642595583978	24.194678113568	23.6352230228371	24.7613674006033	25.3528592039693	26.0153776178415	26.4849290726595	26.4256641142648
D9R0G7	20.2113369909178	21.5009624413603	20.7850053882122	22.2329220882019	22.6773652273346	22.9937766468844	23.2321901940716	23.2016339808097
D9R0H1	17.5706710462917	17.7836633164922	16.0592599518451	18.327771908644	NA	NA	NA	NA
D9R0H4	16.0223894879714	17.1144133904119	16.3884209681461	17.7521192650791	17.9877636274985	18.6971033156872	19.4989582520098	19.5471166995358
D9R0H7	NA	NA	15.0155457253672	14.5944995644151	17.4765880050204	18.1476819277705	16.652984979314	17.0640269646657
D9R0I0	NA	16.4719926739688	16.3292883069091	17.229382133206	18.684077405136	18.7531645069584	20.4045761372403	18.4248469852434
D9R0L1	NA	NA	NA	NA	17.7009002406295	NA	19.1551393972106	17.0944488712021
D9R0M0	NA	NA	NA	NA	NA	17.7703670858963	17.7708832327793	19.5103044457602
D9R0M1	17.5629429678458	18.8357481999532	18.1481786380666	19.0413436559257	18.3396934519604	20.1998831824994	20.0112709410216	20.1141337515453
D9R0M4	18.5783948057531	18.6395173601409	18.5815610340825	19.5914018150242	21.9386922930702	21.7721727926783	22.4519656726199	22.0945519613476
D9R0M6	17.7662959632837	19.1643521034466	18.0804636376054	18.7323131932609	23.6794929855626	23.1356779772785	24.9450308291307	24.5114124555358
D9R0M8	15.5979361490957	17.2504464701453	17.9135088773712	18.6258871715206	23.1856636897982	22.282348670059	25.0536614434366	23.4633866714456
D9R0M9	18.5938652316609	18.4321666934756	17.5091254969496	19.7568820387878	22.2210784653678	21.2380641415838	23.9123250885552	23.2805091292741
D9R0N0	25.5770684946941	25.6777469502956	25.7620520857818	25.8817336683522	25.596108297173	25.8529810962276	25.9489783187395	26.0159305293776
D9R0N2	17.6909119199827	17.4508890457431	17.8860775848731	18.7132723901521	20.8911903678035	21.4332369987853	21.6691688096964	21.8958193200173
D9R0N4	14.9853082972559	15.3523883288645	NA	NA	19.7480126325125	20.6493053033217	20.4100744962609	20.4476846005656
D9R0P8	NA	NA	NA	NA	20.3003927816133	20.6486911105019	20.8071127501607	21.158323692594
D9R0P9	NA	NA	NA	NA	19.2455341376765	17.8745371589022	20.9553916603463	20.5608552388575
D9R0Q0	20.4941407147308	19.9685993002691	18.8910419958137	20.3668771215868	20.5099759830778	20.0595979580648	20.6336054652369	20.3315599199884
D9R0Q2	21.059993958353	21.7241324386993	21.1740186430019	21.541134437186	23.5554354311769	23.5760017217304	23.9212525726219	23.9150638637387
D9R0T1	NA	17.1465885627762	15.8752933984937	18.0330572911909	18.3713512588002	19.0910685913474	19.913392003178	NA
D9R0T3	16.7919513924625	16.3629369290612	18.0249664838738	17.7895336449704	16.8911903678035	17.2920339854995	17.878793341654	18.2888390450037
D9R0V5	NA	NA	NA	NA	18.3358613590463	20.3794122136863	20.3190414037301	20.3795179792404
D9R0W4	17.4154281909558	17.6877037302136	17.6744543618953	18.8640833470354	20.528408323762	20.8698920044233	21.6784832289721	20.7922533262061
D9R0W5	NA	16.5993317429563	NA	17.4594796479018	19.6090632809741	19.4278570589487	20.3665570087847	19.5438738818582
D9R0W9	18.5893366051778	18.6318662304983	18.49985367094	20.0917142947288	21.3670904906681	21.8272589597879	22.4760786844371	21.7791245850327
D9R0Z4	NA	NA	NA	NA	19.5789659767633	18.9342782896613	19.7702057521184	NA
D9R0Z8	17.7174622303497	18.509512143708	NA	19.5102078468515	21.4985785044527	21.9611981368872	23.3492185864849	23.37238791639
D9R103	NA	NA	NA	NA	NA	17.3508701382098	20.958014549628	18.9216666318802
D9R132	20.2173850411288	20.4991140169679	20.1803462629739	21.4029641582564	22.9647624835378	24.6268943134057	23.5234872986999	23.0347640422988
D9R134	NA	18.2812056006079	NA	18.3736468520655	18.8431911302479	22.2568974132008	22.2237907977037	22.6558040884684
D9R135	NA	16.7828958574578	NA	17.0207412635222	18.384522393059	19.2665715329594	19.1341304748335	18.5748152359733
D9R150	14.7840724611058	14.886649213372	15.0487848503381	15.9707799736875	19.1305655355643	19.3298751546342	20.1690099164606	19.3525090254613
D9R160	20.1642293261144	20.2749195355247	19.5085066465204	20.7976456956335	22.0136239123117	22.3705799276758	22.9022934058566	22.7721123703006
D9R163	NA	NA	NA	NA	16.131495277147	17.4324114047036	19.21114683736	17.7063746012285
D9R172	18.6787239159678	19.2311649181083	19.1939536162729	19.5101885262936	21.3660233295566	21.5626262748271	22.4479619958495	22.0213378779577
D9R174	12.5994944743355	13.5789622925137	NA	14.4778847243517	NA	NA	NA	NA
D9R183	NA	16.0278844043489	NA	16.1395313681203	19.3652544844787	20.2805940828062	20.3641004480623	20.5030997677377
D9R191	NA	17.362645902632	17.8306513692552	17.9416895581858	20.023234556846	20.3930971287971	21.4567354146974	20.2135931505427
D9R194	15.8890998837704	15.5860774346107	16.5648639902269	16.4656142302756	18.1074827332978	18.6032786098684	19.1317464558375	18.8599351020064
D9R1A1	NA	15.1203188889399	NA	NA	17.7532951089628	17.9338750367073	19.1668299709071	18.6341020045778
D9R1A5	16.1319373223991	16.0583088845642	14.6013065261218	17.9114622107762	18.9368966900195	18.3743687835161	21.0055258692675	19.6788442444095
D9R1B0	14.9851303734669	NA	NA	NA	19.2667087756384	18.0519735977666	19.0614450301573	19.0228283355169
D9R1C2	NA	NA	NA	NA	17.2540505527674	NA	18.4232882903473	17.4660286512509
D9R1C3	18.4452007982062	17.2018941745517	19.1118692232783	19.8893346202798	20.0401933840058	20.7246737173831	20.7029471088087	20.5555290488428
D9R1D7	16.5009974412872	17.2329455026843	15.2899468256141	17.3961531994082	17.6493403921578	18.8264988342118	19.0748313623628	17.5092801680879
D9R1D8	16.2483538225979	17.3357741476187	17.0582243149002	17.4596397339029	20.7010018066854	21.0543075412787	22.1587243170939	21.2496829129339
D9R1E1	23.3025697608658	23.4006730911925	23.3010350529749	23.6148158657688	24.4410110624044	24.7731392067197	25.7345889011179	25.3735831348841
D9R1E2	19.4912072142469	NA	NA	19.9231910887592	19.6772447754665	20.1038000381497	20.483748873501	20.3564906575349
D9R1E7	20.4352226044697	20.5327896549091	20.5253525745848	21.05357858945	21.9940357128249	22.4243703264221	23.2719884132514	23.1719286977735
D9R1F5	NA	NA	NA	NA	17.0903192131916	NA	18.4849880572816	17.4030786161592
D9R1F9	NA	17.6448420701554	17.3071474329916	18.6200264717092	20.5672765336267	21.0705795772964	21.0320753306397	21.2154310921589
D9R1G2	16.7342332998426	17.474846671024	15.9823251755159	17.5570448092836	20.010588202359	20.0556319653513	21.0592678747722	20.1031597225558
D9R1G7	19.9285501813734	20.4876791219056	20.0120898011557	21.3148443090877	23.2025011108528	23.2021274118104	24.3100801925779	23.8815703184077
D9R1H9	NA	NA	NA	NA	16.3123157466901	15.8470328701942	18.3566410983356	16.9182343430211
D9R1I3	NA	20.1319473673082	19.0254261777195	19.6076192862175	20.6881649198259	21.4118853999516	21.9967617186881	20.3220161473175
D9R1I4	21.9054736802358	21.9148814403913	21.4567354146974	22.5654647152433	22.9301432040813	23.2100737827973	23.8094109584549	23.3913935966012
D9R1I5	NA	18.4231241191951	18.1090654476481	19.0352609051678	19.5638740151831	18.7449126539131	20.5977797875731	20.9024222236647
D9R1I6	21.7985952015357	21.7340099705159	21.2904148999293	22.1430792322077	23.3079978803941	23.3256710811359	23.6531599680996	23.0356871308458
D9R1I8	24.101012592252	24.0182674285986	23.8569983905679	23.8806365351771	23.9962790044116	24.2232457925002	24.5263559558986	23.4652564972237
D9R1L5	20.0866701274499	20.0858925339847	20.2638468523811	20.5090094827128	22.197995328216	22.18531585383	22.3050219027549	22.1466258502287
D9R1M9	18.206337135124	18.4613595374626	17.94968994729	19.0175370231863	20.8739517013288	20.9819657829604	21.8727500186806	21.4220873573963
D9R1P6	19.5626821668822	19.2688115301457	19.6521972670144	19.9993449413727	19.1438515195707	19.9250617903826	20.3735831348841	19.7868885731921
D9R1Q2	14.8752693969791	NA	16.7282659879811	18.2778957816548	20.8448314014794	21.4205976331746	21.7798059050174	21.7484958911867
D9R1Q7	19.2651067981124	19.9728115515561	NA	20.8386899776747	21.435680433333	21.4098156100756	22.4274427787326	NA
D9R1Q9	NA	NA	NA	NA	15.8764689838315	15.6155721670917	18.3038966641809	17.3114112968159
D9R1R5	16.4599278439482	16.2185632361903	14.8843136365175	16.7081947816575	21.1384618054459	22.5290282327282	21.8566945133564	21.5719581293791
D9R1R6	20.3047434600773	20.4413150756898	20.4167892824801	20.8246977553414	21.9523729858546	22.0994402773533	23.4370784553294	22.8470703487428
D9R1S6	NA	NA	NA	NA	15.9614723041609	16.0738695935106	14.926759273113	16.3253757327544
D9R1T0	NA	16.0620883113043	15.8053408284164	NA	17.8895277292779	18.3031831871888	19.971408833856	16.8616927494683
D9R1U1	17.5577179697473	17.9211435899051	17.9993724708312	18.5083132013089	17.0995943757681	18.5867371869338	18.9336733679545	17.2017984765622
D9R1U5	NA	12.939615942336	NA	NA	15.3548691998591	16.711693857166	17.9439799143437	16.3670392849665
D9R1W6	17.3617896021315	NA	16.7627972624982	20.8499548037705	20.8975559711489	19.0945519613476	20.7898679171956	21.238647307864
D9R1X2	21.1696216685966	21.5655112005598	21.0210667201633	21.5827006472409	21.4330331923162	21.8146028049793	21.6380770198923	21.9688804999661
D9R1Y1	19.2904148999293	21.07789794276	21.4416190249253	21.014611698026	20.8207305651196	23.5324329788908	22.4611646627406	23.3387853390285
D9R1Y2	20.60620999841	20.4395914860618	19.6962034723284	21.6522410400939	22.5129439214719	22.9432967667426	23.1859812059349	23.4351717256264
D9R1Y3	15.6126669573267	16.7830237956515	15.3352158696072	16.1668103609459	15.6198187665392	15.6477113706014	18.1686917028038	17.4630772933249
D9R1Z9	NA	NA	NA	17.3915456858529	17.4276729490949	20.413487447159	19.6231206003252	20.3413667971526
D9R204	18.464753129222	19.5593434786391	19.41784015622	19.9467806543927	19.8055392155761	20.4513117427423	21.5705691417485	20.9564555686374
D9R211	23.3103576072583	23.5387213096794	23.36626350964	24.2194102085585	24.9871113172865	25.1399297524226	25.8199952428073	25.4904790269519
D9R223	23.1847409845144	23.3427236062819	22.8565805428985	23.805775355202	24.8156780206834	24.7075672473465	25.4156100019072	24.9528261898847
D9R226	18.8303728417621	18.4548294097769	17.5442701981365	18.8352855950558	20.9175789531924	20.6602292359457	22.1827725922388	21.4216251937885
D9R234	20.109805153929	20.4768450694554	20.3764476257397	21.8533857091708	23.3314232428966	23.871735319807	22.1495747196086	23.5167714991836
D9R238	20.7285815471603	19.6144833989004	20.348192160957	21.4519153808436	20.7731392067197	21.9449950963033	21.9691616448644	22.0290782389222
D9R239	NA	NA	NA	NA	19.6436096143762	20.2139490639628	20.890299906892	20.964233681606
D9R249	16.3312143752887	15.7928411211622	14.8276900367077	16.4431701946603	15.9945965175657	16.9519676475435	17.6140339975894	NA
D9R253	18.1797633362516	18.2605888046566	17.5513477831178	18.777158978172	NA	19.2189699395516	18.814125543465	NA
D9R264	21.6952775760271	21.8457120858924	22.2065160000947	22.0438016269227	23.0693015944844	23.2041740953602	23.4650073270951	23.8199708879747
D9R269	17.8239518231221	18.4243549477087	17.8732758780051	19.1164962647521	20.383847704459	21.0079908447828	21.0531808240654	20.5109418363916
D9R273	20.7730586969375	21.1250249350738	20.5965974369612	21.7485777833954	22.1541258606729	22.3622285196293	23.2221551640461	22.7135157335745
D9R288	NA	NA	NA	19.4044306131102	NA	19.0245066435066	21.0928113276667	19.5390906377936
D9R289	20.6570916148532	21.1926179044277	20.8439885043395	21.3718829711273	21.997347654686	22.2025758390468	23.6885918158316	22.6266715549647
D9R291	NA	20.6711574819685	19.1581017603758	21.2529772004877	21.1209187395198	21.9988286667351	21.8555163842321	22.4759303048175
D9R298	20.5219071025033	21.9181979402849	20.2897397442937	21.5519672999214	21.6872253037324	22.0311667583057	21.81971757334	22.5477850955158
D9R2B4	NA	NA	NA	17.1818510677491	NA	16.828731532683	18.8840810635176	20.3654894528377
D9R2B8	16.377142732976	16.5304520607356	17.4912267906802	16.8438965221251	18.9508577178819	19.2338115714951	20.493554491626	19.5974706509741
D9R2C6	NA	NA	NA	NA	19.4514928606939	19.8114938594537	20.4564346339101	19.6843342846064
D9R2C7	18.385407443285	17.4320035295939	17.8284216422209	21.8865093044133	20.943064208162	18.8070341141789	19.8390592012708	19.2164853691232
D9R2D4	16.7364812097145	16.560482111986	16.4870706341346	18.341171311491	19.3777189094533	18.6916617437823	20.8118230826061	20.7500919513905
D9R2D5	NA	NA	NA	NA	18.923843934626	18.8438965221251	20.771769929019	19.4626979650988
D9R2D8	NA	NA	NA	NA	16.9389363225393	17.2681947350877	18.1712354489574	13.5145907837457
D9R2E0	NA	NA	NA	NA	16.604350524062	18.4714370738582	18.1713820667906	NA
D9R2E3	NA	15.7485073563758	NA	15.7546004791577	17.5656227592088	18.5788370224286	19.0215547675046	17.3927199043104
D9R2F3	19.3154414831245	20.7048897914558	19.480518061086	22.4910114353023	22.419852193809	22.9857571792923	22.997778338209	22.9655200951223
D9R2G7	15.8449508997567	14.3065601649774	15.8873158271524	17.404492982392	19.5464950958502	18.7001890779598	20.1405851611554	19.9483501195576
D9R2H0	21.3312318732122	21.6864133243346	21.7075461844138	22.1730426950256	23.0079053258976	22.9301432040813	24.0432676415216	23.3837686187304
D9R2H4	NA	NA	NA	NA	18.710752632911	NA	16.1698075898418	17.8214625932575
D9R2H5	17.3307068431679	17.380088979286	17.7848137401006	18.4272228038488	19.4625182484904	19.5982161029737	20.0401933840058	19.8778352972652
D9R2I5	NA	NA	NA	NA	18.0868515056353	17.0834793273318	18.86423451747	17.7526419806793
D9R2I6	NA	NA	NA	15.6042636417638	18.5182996914293	15.6997351051645	19.5392800001577	18.1005699503502
D9R2I8	NA	NA	NA	NA	20.0821282458996	20.9290416412951	21.7341340466321	21.0535123028346
D9R2L0	NA	NA	16.1401307760898	15.7774094410444	18.2869006352645	18.7328762479117	20.1664377210296	18.2248684180156
D9R2L1	NA	NA	NA	NA	19.6622998115306	20.1827725922388	20.1382117933076	20.4416190249253
D9R2L2	NA	NA	NA	NA	22.0156668595378	23.3794122136863	23.3146507274186	23.0772949286076
D9R2N6	NA	NA	NA	NA	18.496853777388	19.9039083171778	20.6284526601796	20.217503377268
D9R2N9	16.5472861813419	17.5212170195602	16.41590678162	18.1167500682186	17.0293950799224	18.7691082037036	18.3681568629843	17.4293903947136
D9R2P2	17.1131927501014	18.5350323145293	17.6949971415738	18.6495509072545	18.670068374958	19.5856374320533	19.3667704252112	18.4510903454742
D9R2P4	16.5330407019451	16.9900374664253	16.92937400457	17.3859971752729	17.6077637507488	15.9753777977468	17.7309874913153	NA
D9R2P6	19.1931836270739	19.508932134705	18.6722457674197	19.5688727638935	19.7630567166921	20.2298749651307	19.8770863821637	19.99810557172
D9R2R5	NA	NA	NA	NA	23.5568390586989	24.6305093257117	23.458764046446	24.1955794693785
D9R2R9	NA	18.6962544218463	18.1238384977844	18.8108038148519	18.7288306240822	19.6402943698272	13.9539235977984	19.2962082324438
D9R2V2	19.9989319364438	20.4284910353322	19.9894000438847	21.0004457101745	22.2966171524673	23.2001077625943	23.234399382778	22.9365193292752
