"Control"	"Du"
"D9RAJ1"	2	2
"D9RAJ4"	1	0
"D9RAJ5"	0	4
"D9RAJ9"	4	4
"D9RAK3"	4	4
"D9RAL1"	3	1
"D9RAR7"	2	0
"D9RAR8"	0	0
"D9RAS0"	3	0
"D9RAS1"	4	1
"D9RAS2"	2	0
"D9RAS8"	4	1
"D9RAT2"	4	4
"D9RAT3"	0	0
"D9RAT7"	4	0
"D9RAT8"	4	4
"D9RAU5"	4	1
"D9RAV1"	4	1
"D9RAV2"	4	4
"D9RAW5"	0	0
"D9RAW8"	4	4
"D9RAX2"	0	0
"D9RAX3"	4	4
"D9RAX7"	4	0
"D9RAX8"	0	0
"D9RAY0"	0	0
"D9RAY2"	4	0
"D9RAY4"	2	4
"D9RAY6"	4	4
"D9RAY9"	4	4
"D9RAZ0"	4	4
"D9RAZ1"	4	2
"D9RAZ2"	4	4
