"Control"	"Du"
"D9R0N2"	0	0
"D9R0N3"	4	3
"D9R0N4"	2	0
"D9R0P2"	4	4
"D9R0P8"	4	0
"D9R0P9"	4	0
"D9R0Q0"	0	0
"D9R0Q1"	3	4
"D9R0Q2"	0	0
"D9R0Q3"	3	2
"D9R0R2"	3	3
"D9R0R4"	4	2
"D9R0R6"	3	3
"D9R0T1"	1	1
"D9R0T2"	4	4
"D9R0T3"	0	0
"D9R0T4"	4	4
"D9R0V5"	4	0
"D9R0V7"	4	4
"D9R0V9"	3	4
"D9R0W1"	4	3
"D9R0W2"	4	4
"D9R0W4"	0	0
"D9R0W5"	2	0
"D9R0W6"	3	2
"D9R0W7"	4	4
"D9R0W9"	0	0
"D9R0Z3"	4	4
"D9R0Z4"	4	1
"D9R0Z6"	4	3
"D9R0Z8"	1	0
"D9R103"	4	1
"D9R105"	4	4
"D9R109"	4	3
"D9R111"	4	4
"D9R114"	4	3
"D9R115"	4	2
"D9R121"	4	3
"D9R123"	4	4
"D9R132"	0	0
"D9R133"	4	4
"D9R134"	2	0
"D9R135"	2	0
"D9R140"	4	3
"D9R147"	4	4
"D9R150"	0	0
"D9R160"	0	0
"D9R163"	4	0
"D9R168"	3	3
"D9R172"	0	0
"D9R173"	4	4
"D9R174"	1	4
"D9R176"	2	4
"D9R182"	4	4
"D9R183"	2	0
"D9R185"	4	4
"D9R191"	1	0
"D9R193"	4	2
"D9R194"	0	0
"D9R199"	4	4
"D9R1A1"	3	0
"D9R1A5"	0	0
"D9R1A7"	4	4
"D9R1A8"	4	4
"D9R1A9"	4	4
"D9R1B0"	3	0
"D9R1C2"	4	1
"D9R1C3"	0	0
"D9R1D1"	4	4
"D9R1D3"	4	4
"D9R1D7"	0	0
"D9R1D8"	0	0
"D9R1E1"	0	0
"D9R1E2"	2	0
"D9R1E3"	4	4
"D9R1E4"	3	4
"D9R1E7"	0	0
"D9R1F5"	4	1
"D9R1F9"	1	0
"D9R1G2"	0	0
"D9R1G3"	4	3
"D9R1G6"	4	4
"D9R1G7"	0	0
"D9R1H5"	4	4
"D9R1H9"	4	0
"D9R1I0"	4	3
"D9R1I2"	4	4
"D9R1I3"	1	0
"D9R1I4"	0	0
"D9R1I5"	1	0
"D9R1I6"	0	0
"D9R1I7"	2	4
"D9R1I8"	0	0
"D9R1J3"	3	4
"D9R1L5"	0	0
"D9R1L7"	4	4
"D9R1M6"	4	4
"D9R1M8"	4	2
"D9R1M9"	0	0
"D9R1P6"	0	0
"D9R1Q0"	3	2
"D9R1Q2"	1	0
"D9R1Q7"	1	1
"D9R1Q9"	4	0
"D9R1R2"	4	4
"D9R1R5"	0	0
"D9R1R6"	0	0
"D9R1R7"	4	4
"D9R1R9"	4	4
"D9R1S1"	3	4
"D9R1S3"	4	4
"D9R1S6"	4	0
"D9R1S7"	4	2
"D9R1S8"	4	3
"D9R1S9"	4	4
"D9R1T0"	2	0
"D9R1U1"	0	0
"D9R1U4"	4	3
"D9R1U5"	3	0
"D9R1W4"	4	4
"D9R1W6"	1	0
"D9R1X2"	0	0
"D9R1Y1"	0	0
"D9R1Y2"	0	0
"D9R1Y3"	0	0
"D9R1Z9"	3	0
"D9R202"	4	4
"D9R204"	0	0
"D9R211"	0	0
"D9R212"	3	2
"D9R223"	0	0
"D9R224"	4	3
"D9R225"	3	2
"D9R226"	0	0
"D9R228"	4	2
"D9R232"	4	4
"D9R234"	0	0
"D9R238"	0	0
"D9R239"	4	0
"D9R241"	4	4
"D9R243"	4	4
"D9R246"	4	4
"D9R249"	0	1
"D9R253"	0	2
"D9R258"	4	3
"D9R259"	3	3
"D9R260"	4	4
"D9R264"	0	0
"D9R266"	4	4
"D9R268"	4	3
"D9R269"	0	0
"D9R270"	4	4
"D9R271"	3	4
"D9R273"	0	0
"D9R288"	3	1
"D9R289"	0	0
"D9R291"	1	0
"D9R298"	0	0
"D9R2A0"	4	2
"D9R2A1"	4	4
"D9R2A5"	4	4
"D9R2A9"	3	4
"D9R2B1"	2	3
"D9R2B3"	3	2
"D9R2B4"	3	1
"D9R2B6"	4	3
"D9R2B8"	0	0
"D9R2C0"	4	3
"D9R2C3"	4	4
"D9R2C6"	4	0
"D9R2C7"	0	0
"D9R2D4"	0	0
"D9R2D5"	4	0
"D9R2D8"	4	0
"D9R2E0"	4	1
"D9R2E1"	4	4
"D9R2E3"	2	0
"D9R2E4"	4	3
"D9R2F3"	0	0
"D9R2G0"	4	2
"D9R2G3"	4	4
"D9R2G7"	0	0
"D9R2H0"	0	0
"D9R2H4"	4	1
"D9R2H5"	0	0
"D9R2H9"	3	3
"D9R2I1"	4	4
"D9R2I4"	4	4
"D9R2I5"	4	0
"D9R2I6"	3	0
"D9R2I8"	4	0
"D9R2K4"	4	3
"D9R2L0"	2	0
"D9R2L1"	4	0
"D9R2L2"	4	0
"D9R2L6"	4	4
"D9R2L7"	4	4
"D9R2M7"	4	3
"D9R2N6"	4	0
"D9R2N9"	0	0
"D9R2P1"	4	4
"D9R2P2"	0	0
"D9R2P3"	3	4
"D9R2P4"	0	1
"D9R2P6"	0	0
"D9R2P7"	4	4
"D9R2P9"	4	4
"D9R2Q3"	2	3
"D9R2R5"	4	0
"D9R2R9"	1	0
"D9R2S0"	4	4
"D9R2S1"	4	3
"D9R2V2"	0	0
"D9R2V6"	4	2
"D9R2V7"	1	0
"D9R2V8"	4	0
"D9R2V9"	1	0
"D9R2W0"	3	0
"D9R2W3"	2	0
"D9R2W5"	0	0
"D9R2W6"	4	4
"D9R2W9"	1	1
"D9R2X0"	1	0
"D9R2X1"	1	0
"D9R2X5"	4	3
"D9R2Y0"	4	4
"D9R2Y9"	4	0
"D9R2Z2"	4	4
"D9R2Z8"	0	0
"D9R300"	4	4
"D9R301"	4	3
"D9R305"	4	2
"D9R306"	4	3
"D9R307"	4	4
"D9R308"	2	0
"D9R309"	0	2
"D9R310"	3	4
"D9R319"	4	4
"D9R327"	4	4
"D9R328"	2	1
"D9R329"	4	4
"D9R335"	3	1
"D9R336"	4	4
"D9R338"	2	2
"D9R339"	4	2
"D9R340"	4	0
"D9R341"	0	0
"D9R342"	4	4
"D9R347"	4	4
"D9R348"	4	2
"D9R358"	4	1
"D9R360"	2	0
"D9R371"	3	4
"D9R376"	4	4
"D9R382"	0	0
"D9R395"	0	0
"D9R399"	4	4
"D9R3A9"	3	4
"D9R3C0"	2	0
"D9R3C1"	4	3
"D9R3C2"	4	1
"D9R3C5"	4	0
"D9R3C7"	3	1
"D9R3C9"	4	4
"D9R3D4"	4	4
"D9R3D6"	4	4
"D9R3E1"	3	0
"D9R3E2"	4	4
"D9R3F0"	2	2
"D9R3F5"	4	4
"D9R3F7"	4	4
"D9R3F8"	3	0
"D9R3G1"	4	4
"D9R3G2"	0	0
"D9R3G4"	0	1
"D9R3G6"	4	4
"D9R3G7"	1	0
"D9R3G9"	3	2
"D9R3H0"	4	3
"D9R3H5"	1	2
"D9R3H7"	4	4
"D9R3H8"	0	1
"D9R3H9"	0	0
"D9R3I0"	0	0
"D9R3I8"	4	1
"D9R3J0"	4	4
"D9R3J8"	4	4
"D9R3K8"	4	4
"D9R3L7"	4	4
"D9R3M7"	4	4
"D9R3N0"	0	0
"D9R3N1"	4	4
"D9R3N2"	0	0
"D9R3N7"	0	0
"D9R3P3"	1	0
"D9R3Q2"	4	4
"D9R3Q8"	4	4
"D9R3Q9"	4	4
"D9R3R0"	4	4
"D9R3R2"	0	0
"D9R3R3"	1	0
"D9R3R4"	4	4
"D9R3R5"	3	3
"D9R3R6"	0	0
"D9R3R7"	1	0
"D9R3R8"	3	2
"D9R3S0"	1	0
"D9R3S1"	4	3
"D9R3S2"	0	0
"D9R3T1"	4	4
"D9R3T3"	3	4
"D9R3T4"	0	1
"D9R3T5"	0	0
"D9R3T6"	0	0
"D9R3T7"	0	0
"D9R3T8"	1	1
"D9R3U2"	4	4
"D9R3V0"	4	3
"D9R3V1"	4	4
"D9R3V2"	1	0
"D9R3V4"	3	4
"D9R3W1"	4	3
"D9R3W3"	0	0
"D9R3W7"	2	0
"D9R3X3"	4	3
"D9R3X4"	4	0
"D9R3X7"	4	1
"D9R3X9"	3	4
"D9R3Y0"	4	4
"D9R3Y3"	0	0
"D9R3Y4"	3	3
"D9R3Y5"	4	4
"D9R3Y6"	4	4
"D9R3Z4"	4	0
"D9R3Z9"	4	4
"D9R402"	4	2
"D9R404"	2	2
"D9R407"	0	0
"D9R410"	3	3
"D9R415"	4	4
"D9R417"	4	1
"D9R418"	4	4
"D9R419"	4	3
"D9R422"	4	3
"D9R423"	0	0
"D9R435"	4	4
"D9R437"	4	4
"D9R438"	4	1
"D9R441"	4	4
"D9R442"	4	3
"D9R443"	4	1
"D9R446"	0	0
