go.ontology	go.id
Biological process	GO:0000736
Biological process	GO:0000737
Biological process	GO:0000738
Biological process	GO:0036292
Biological process	GO:0000740
Biological process	GO:0000741
Biological process	GO:0000742
Biological process	GO:0000743
Biological process	GO:0000744
Biological process	GO:0000745
Biological process	GO:0000746
Biological process	GO:0000747
Biological process	GO:0000748
Biological process	GO:0000749
Biological process	GO:0000751
Biological process	GO:0000752
Biological process	GO:0000754
Biological process	GO:0000755
Biological process	GO:0000756
Biological process	GO:0000757
Biological process	GO:0000758
Biological process	GO:0000759
Biological process	GO:0000760
Biological process	GO:0000761
Biological process	GO:0000762
Biological process	GO:0000765
Biological process	GO:0000766
Biological process	GO:0000767
Biological process	GO:0000768
Biological process	GO:0000769
Biological process	GO:0000770
Biological process	GO:0000771
Biological process	GO:0000819
Biological process	GO:0000820
Biological process	GO:0000821
Biological process	GO:0052746
Biological process	GO:0000902
Biological process	GO:0000903
Biological process	GO:0000904
Biological process	GO:0000905
Biological process	GO:0000909
Biological process	GO:0000910
Biological process	GO:0000911
Biological process	GO:0000912
Biological process	GO:0000913
Biological process	GO:0000914
Biological process	GO:0000915
Biological process	GO:0000916
Biological process	GO:0000919
Biological process	GO:0000920
Biological process	GO:0000947
Biological process	GO:0000948
Biological process	GO:0000949
Biological process	GO:0000950
Biological process	GO:0000951
Biological process	GO:0000952
Biological process	GO:0000953
Biological process	GO:0000954
Biological process	GO:0000955
Biological process	GO:0000956
Biological process	GO:0000957
Biological process	GO:0000958
Biological process	GO:0000959
Biological process	GO:0000960
Biological process	GO:0000961
Biological process	GO:0000962
Biological process	GO:0000963
Biological process	GO:0000964
Biological process	GO:0000965
Biological process	GO:0000966
Biological process	GO:0000967
Biological process	GO:0000968
Biological process	GO:0000969
Biological process	GO:0000970
Biological process	GO:0000971
Biological process	GO:0000972
Biological process	GO:0000973
Biological process	GO:0000999
Biological process	GO:0001009
Biological process	GO:0001014
Biological process	GO:0001015
Biological process	GO:0001020
Biological process	GO:0001021
Biological process	GO:0001022
Biological process	GO:0001023
Biological process	GO:0001024
Biological process	GO:0001035
Biological process	GO:0001036
Biological process	GO:0001041
Biological process	GO:0001043
Biological process	GO:0001059
Biological process	GO:0001060
Biological process	GO:0001079
Biological process	GO:0001080
Biological process	GO:0001081
Biological process	GO:0001100
Biological process	GO:0001101
Biological process	GO:0001109
Biological process	GO:0001110
Biological process	GO:0001111
Biological process	GO:0001112
Biological process	GO:0001113
Biological process	GO:0001115
Biological process	GO:0001116
Biological process	GO:0001117
Biological process	GO:0001118
Biological process	GO:0001119
Biological process	GO:0001120
Biological process	GO:0001121
Biological process	GO:0001122
Biological process	GO:0001123
Biological process	GO:0001124
Biological process	GO:0001125
Biological process	GO:0001126
Biological process	GO:0001127
Biological process	GO:0001171
Biological process	GO:0001172
Biological process	GO:0001173
Biological process	GO:0001174
Biological process	GO:0001175
Biological process	GO:0001176
Biological process	GO:0001177
Biological process	GO:0001178
Biological process	GO:0001180
Biological process	GO:0001182
Biological process	GO:0001183
Biological process	GO:0001184
Biological process	GO:0001185
Biological process	GO:0001188
Biological process	GO:0001189
Biological process	GO:0001192
Biological process	GO:0001193
Biological process	GO:0001194
Biological process	GO:0001195
Biological process	GO:0001196
Biological process	GO:0001197
Biological process	GO:0001198
Biological process	GO:0001207
Biological process	GO:0001208
Biological process	GO:0001300
Biological process	GO:0001301
Biological process	GO:0001302
Biological process	GO:0001303
Biological process	GO:0001304
Biological process	GO:0001305
Biological process	GO:0001306
Biological process	GO:0001307
Biological process	GO:0001308
Biological process	GO:1903824
Biological process	GO:0001310
Biological process	GO:0001311
Biological process	GO:0001312
Biological process	GO:0001313
Biological process	GO:0001314
Biological process	GO:0001315
Biological process	GO:0001316
Biological process	GO:0001317
Biological process	GO:0001318
Biological process	GO:0001319
Biological process	GO:0001320
Biological process	GO:0001321
Biological process	GO:0001322
Biological process	GO:0001323
Biological process	GO:0001324
Biological process	GO:0001325
Biological process	GO:0001326
Biological process	GO:0001402
Biological process	GO:0001403
Biological process	GO:0044409
Biological process	GO:0001407
Biological process	GO:0001408
Biological process	GO:0001410
Biological process	GO:0001501
Biological process	GO:0001502
Biological process	GO:0001503
Biological process	GO:0001504
Biological process	GO:0001505
Biological process	GO:0042136
Biological process	GO:0042137
Biological process	GO:0001507
Biological process	GO:0001508
