cond.org	org	media	growth	mono_growth	max	max_mono	max_pvalue	max_diff	max_fold	mu	mu_mono	mu_pvalue	mu_diff	mu_fold	lag	lag_mono	lag_pvalue	lag_diff	lag_fold	max_pvalue_adj	mu_pvalue_adj	lag_pvalue_adj	max_log_fold	mu_log_fold	lag_log_fold	max_interaction_type	max_interaction_type_adj	mu_interaction_type	mu_interaction_type_adj	lag_interaction_type	lag_interaction_type_adj	max_tech.pval
acetaminophen|H2O	B. animalis subsp. lactis BI-07	GMM	growth	growth	0.316333333333334	0.302	0.599054743968303	0.00516666666666701	1.01458100069576	0.0678032161403239	0.0656894775693247	0.433345860358979	0.00399618281791179	1.08359788641692	27803.6071074151	26803.8552349439	0.161580200811744	1130.04431816545	1.04252821244018	0.854278610928991	0.889953851270856	0.795827572208633	0.0208840495570005	0.115829484644808	0.0600864257771875	none	none	none	none	none	none	0.780730564497785
acetaminophen|H2O	B. fragilis	GMM	growth	growth	0.660166666666667	0.673166666666666	0.623139660700345	-0.0129999999999995	0.978759285111077	0.0556281559932319	0.0574316831334469	0.627890971453041	-0.00180352714021495	0.953422942823297	14786.0635341098	14750.9540992807	0.977640366195496	35.1094348291244	0.976587876439554	0.858040475205187	0.895042414591598	1	-0.0309740061284697	-0.0688117525727632	-0.0341782267103669	none	none	none	none	none	none	0.831926045198513
acetaminophen|H2O	B. longum subsp. infantis	GMM	growth	growth	0.978	0.908	0.523351714751901	0.0700000000000001	1.07454747071949	0.0996229991239561	0.0986062280556252	0.94193775869257	0.00101677106833093	1.00154001076793	30596.9812563094	30162.4814904863	0.437320433079985	434.499765823051	1.01361645254993	0.847974362651172	0.977323898986519	0.795827572208633	0.103729218697579	0.0022200568804904	0.0195118469350484	none	none	none	none	none	none	0.500630587896678
acetaminophen|H2O	B. longum subsp. longum	GMM	growth;no growth	growth;no growth	0.458	0.4285	0.158494581089775	0.0295	1.06810551893474	0.135769149684974	0.107425664796618	0.236721369284972	0.0283434848883567	1.41727921495415	42227.1404871732	26015.2358541796	0.497895948169183	16211.9046329935	1.61364019332221	0.736804412090951	0.889953851270856	0.795827572208633	0.0950541789768511	0.503124008324779	0.690318924849606	none	none	none	none	none	none	0.953483121741505
acetaminophen|H2O	B. thetaiotaomicron	GMM	growth	growth	0.743	0.744916666666667	0.720613492992402	-0.014166666666667	0.982475629046243	0.0534564334662483	0.0460372787516122	0.361574517330471	0.00678251007507129	1.24152096049384	39642.8675358207	40199.5450829714	0.614954557587314	-567.454672176051	0.994402218770012	0.891145306612959	0.889953851270856	0.843255023342643	-0.0255064740710345	0.312108618619261	-0.00809857946546663	none	none	none	none	none	none	0.961403222072753
acetaminophen|H2O	B. uniformis	GMM	growth	growth	0.686166666666666	0.687166666666667	0.979248012895167	-0.0115000000000005	0.981303531593393	0.0504848384116958	0.0510545087541132	0.115444872556805	0.000803046899990147	1.01540690545412	25341.3787396301	24097.7488337278	0.102324883201525	1228.2127095602	1.05615907385088	0.990740266431122	0.889953851270856	0.795827572208633	-0.0272286426502262	0.0220579765161414	0.0788271431927589	none	none	none	none	none	none	0.910841058223136
acetaminophen|H2O	B. uniformis HM715	GMM	growth	growth	0.598	0.59125	0.74223788318169	-0.00900000000000006	0.984904169245733	0.0784499220153329	0.0766666861886264	0.54685763121437	0.00280949831793996	1.04368190983825	15529	14603.5	0.100679633609769	770	1.05408822703006	0.89380502307441	0.889953851270856	0.795827572208633	-0.0219447370998524	0.0616820787430879	0.0759956253923408	none	none	none	none	none	none	0.983078106646193
acetaminophen|H2O	B. uniformis HM716	GMM	growth	growth	0.6715	0.675	0.858618270161975	-0.0175	0.973531882100305	0.0865466944691236	0.0852996908781864	0.769972324980529	0.000421351960957599	0.999129718847135	14607.5	13442.25	0.450216866431394	1864.5	1.15703697464836	0.944900297212431	0.930037548904582	0.795827572208633	-0.038699868489473	-0.00125609696148791	0.210434968412123	none	none	none	none	none	none	0.875652394430789
acetaminophen|H2O	B. vulgatus	GMM	growth	growth	0.539833333333333	0.614125	0.149733650050668	-0.0877500000000003	0.858664725399057	0.142780149798227	0.132739939708422	0.283990789094567	0.00848728898335034	1.09732621443248	14325.3416331447	15344.5743015855	0.129232137652318	-1060.23000353695	0.925487489156311	0.736804412090951	0.889953851270856	0.795827572208633	-0.219833168907197	0.133992475588562	-0.111714607173084	none	none	none	none	none	none	0.00551783479110081
acetaminophen|H2O	C. bolteae	GMM	no growth;growth	growth;no growth	0.493666666666667	0.5015	0.57176462643021	-0.00783333333333303	0.985132390552129	0.114503525167508	0.128343993805426	0.425136535329568	-0.0138404686379174	0.904959196545649	12781.2286376741	12592.5711668385	0.67131297197088	188.657470835575	1.00409575385519	0.854278610928991	0.889953851270856	0.857718083045787	-0.0216104755382604	-0.144075350501841	0.00589685596687648	none	none	none	none	none	none	0.547157475818788
acetaminophen|H2O	C. comes	GMM	no growth;growth	no growth;growth	0.712666666666667	0.7115	0.951125496055593	0.00116666666666698	1.00104633666846	0.132169605192059	0.128008403290485	0.519784268426108	0.0041612019015743	1.02295219631993	23570.0386504829	23745.1791693699	0.827934486606646	-175.14051888695	1.00001986593035	0.973330760554945	0.889953851270856	0.937873212393692	0.00150875552715244	0.0327387279340876	2.86601945176568e-05	none	none	none	none	none	none	0.988529821243192
