organism	protein_id	original_protein_id
C. saccharolyticum	D9R6T3	D9R6T3
C. saccharolyticum	D9R6T6	D9R6T6
C. saccharolyticum	D9R6T7	D9R6T7
C. saccharolyticum	D9R6T8	D9R6T8
C. saccharolyticum	D9R6U2	D9R6U2
C. saccharolyticum	D9R6U3	D9R6U3
C. saccharolyticum	D9R6U4	D9R6U4
C. saccharolyticum	D9R6U5	D9R6U5
C. saccharolyticum	D9R6U8	D9R6U8
C. saccharolyticum	D9R6U9	D9R6U9
C. saccharolyticum	D9R6V0	D9R6V0
C. saccharolyticum	D9R6V1	D9R6V1
C. saccharolyticum	D9R6V2	D9R6V2
C. saccharolyticum	D9R6V7	D9R6V7
C. saccharolyticum	D9R6W0	D9R6W0
C. saccharolyticum	D9R6W1	D9R6W1
C. saccharolyticum	D9R6W6	D9R6W6
C. saccharolyticum	D9R6W7	D9R6W7
C. saccharolyticum	D9R6W8	D9R6W8
C. saccharolyticum	D9R6W9	D9R6W9
C. saccharolyticum	D9R6X0	D9R6X0
C. saccharolyticum	D9R6X1	D9R6X1
C. saccharolyticum	D9R6X5	D9R6X5
C. saccharolyticum	D9R6X6	D9R6X6
C. saccharolyticum	D9R6X7	D9R6X7
C. saccharolyticum	D9R6X8	D9R6X8
C. saccharolyticum	D9R6X9	D9R6X9
C. saccharolyticum	D9R6Y0	D9R6Y0
C. saccharolyticum	D9R6Y1	D9R6Y1
C. saccharolyticum	D9R6Y2	D9R6Y2
C. saccharolyticum	D9R6Y3	D9R6Y3
C. saccharolyticum	D9R6Y4	D9R6Y4
C. saccharolyticum	D9R6Y5	D9R6Y5
C. saccharolyticum	D9R6Y6	D9R6Y6
C. saccharolyticum	D9R6Y9	D9R6Y9
C. saccharolyticum	D9R6Z0	D9R6Z0
C. saccharolyticum	D9R6Z1	D9R6Z1
C. saccharolyticum	D9R6Z2	D9R6Z2
C. saccharolyticum	D9R6Z3	D9R6Z3
C. saccharolyticum	D9R6Z4	D9R6Z4
C. saccharolyticum	D9R6Z6	D9R6Z6
C. saccharolyticum	D9R6Z7	D9R6Z7
C. saccharolyticum	D9R6Z8	D9R6Z8
C. saccharolyticum	D9R6Z9	D9R6Z9
C. saccharolyticum	D9R700	D9R700
C. saccharolyticum	D9R701	D9R701
C. saccharolyticum	D9R702	D9R702
C. saccharolyticum	D9R705	D9R705
C. saccharolyticum	D9R724	D9R724
C. saccharolyticum	D9R725	D9R725
C. saccharolyticum	D9R726	D9R726
C. saccharolyticum	D9R727	D9R727
C. saccharolyticum	D9R729	D9R729
C. saccharolyticum	D9R733	D9R733
C. saccharolyticum	D9R734	D9R734
C. saccharolyticum	D9R735	D9R735
C. saccharolyticum	D9R737	D9R737
C. saccharolyticum	D9R738	D9R738
C. saccharolyticum	D9R739	D9R739
C. saccharolyticum	D9R740	D9R740
C. saccharolyticum	D9R742	D9R742
C. saccharolyticum	D9R743	D9R743
C. saccharolyticum	D9R745	D9R745
C. saccharolyticum	D9R755	D9R755
C. saccharolyticum	D9R756	D9R756
C. saccharolyticum	D9R760	D9R760
C. saccharolyticum	D9R761	D9R761
C. saccharolyticum	D9R762	D9R762
C. saccharolyticum	D9R763	D9R763
C. saccharolyticum	D9R767	D9R767
C. saccharolyticum	D9R768	D9R768
C. saccharolyticum	D9R770	D9R770
C. saccharolyticum	D9R772	D9R1P6|D9R772|D9R7V6
C. saccharolyticum	D9R773	D9R773
C. saccharolyticum	D9R774	D9R774
C. saccharolyticum	D9R780	D9R780
C. saccharolyticum	D9R781	D9R781
C. saccharolyticum	D9R782	D9R782
C. saccharolyticum	D9R783	D9R783
C. saccharolyticum	D9R784	D9R784
C. saccharolyticum	D9R785	D9R785
C. saccharolyticum	D9R786	D9R786
C. saccharolyticum	D9R787	D9R787
C. saccharolyticum	D9R788	D9R788
C. saccharolyticum	D9R793	D9R793
C. saccharolyticum	D9R796	D9R796
C. saccharolyticum	D9R7A1	D9R7A1
C. saccharolyticum	D9R7A2	D9R7A2
C. saccharolyticum	D9R7A3	D9R7A3
C. saccharolyticum	D9R7A4	D9R7A4
C. saccharolyticum	D9R7A5	D9R7A5
C. saccharolyticum	D9R7A6	D9R7A6
C. saccharolyticum	D9R7A8	D9R7A8
C. saccharolyticum	D9R7A9	D9R7A9
C. saccharolyticum	D9R7B1	D9R7B1
C. saccharolyticum	D9R7B2	D9R7B2
C. saccharolyticum	D9R7B5	D9R7B5
C. saccharolyticum	D9R7B8	D9R7B8
C. saccharolyticum	D9R7C1	D9R7C1
C. saccharolyticum	D9R7C4	D9R7C4
C. saccharolyticum	D9R7C6	D9R7C6
C. saccharolyticum	D9R7C8	D9R7C8
C. saccharolyticum	D9R7C9	D9R7C9
C. saccharolyticum	D9R7D0	D9R7D0
C. saccharolyticum	D9R7D1	D9R7D1
C. saccharolyticum	D9R7D2	D9R7D2
C. saccharolyticum	D9R7D3	D9R7D3
C. saccharolyticum	D9R7D4	D9R7D4
C. saccharolyticum	D9R7D5	D9R7D5
C. saccharolyticum	D9R7D8	D9R7D8
C. saccharolyticum	D9R7E1	D9R7E1
C. saccharolyticum	D9R7E4	D9R7E4
C. saccharolyticum	D9R7E5	D9R7E5
C. saccharolyticum	D9R7E6	D9R7E6
C. saccharolyticum	D9R7E8	D9R7E8
C. saccharolyticum	D9R7F0	D9R7F0
C. saccharolyticum	D9R7F4	D9R7F4
C. saccharolyticum	D9R7F7	D9R7F7
C. saccharolyticum	D9R7G1	D9R7G1
C. saccharolyticum	D9R7G2	D9R7G2
C. saccharolyticum	D9R7G3	D9R7G3
C. saccharolyticum	D9R7G4	D9R027|D9R1L8|D9R7G4
C. saccharolyticum	D9R7G5	D9R7G5
C. saccharolyticum	D9R7G6	D9QZN9|D9R7G6
C. saccharolyticum	D9R7G7	D9R7G7
C. saccharolyticum	D9R7G8	D9R7G8
C. saccharolyticum	D9R7G9	D9R7G9
C. saccharolyticum	D9R7H0	D9R7H0
C. saccharolyticum	D9R7H1	D9R7H1
C. saccharolyticum	D9R7H2	D9R7H2
C. saccharolyticum	D9R7H3	D9R7H3
C. saccharolyticum	D9R7H4	D9R7H4
C. saccharolyticum	D9R7H6	D9R7H6
C. saccharolyticum	D9R7H7	D9R1S5|D9R7H7
C. saccharolyticum	D9R7H8	D9R7H8
C. saccharolyticum	D9R7H9	D9R7H9
C. saccharolyticum	D9R7I0	D9R7I0
C. saccharolyticum	D9R7I4	D9R7I4|D9RAY9
C. saccharolyticum	D9R7I5	D9R7I5
C. saccharolyticum	D9R7K3	D9R7K3
C. saccharolyticum	D9R7K6	D9R7K6
C. saccharolyticum	D9R7K8	D9R7K8
C. saccharolyticum	D9R7L3	D9R7L3
C. saccharolyticum	D9R7M0	D9R259|D9R7M0
C. saccharolyticum	D9R7M2	D9R7M2
C. saccharolyticum	D9R7M7	D9R7M7
C. saccharolyticum	D9R7N6	D9R7N6
C. saccharolyticum	D9R7P4	D9R7P4
C. saccharolyticum	D9R7P5	D9R7P5
C. saccharolyticum	D9R7P6	D9R7P6
C. saccharolyticum	D9R7P7	D9R7P7
C. saccharolyticum	D9R7P8	D9R7P8
C. saccharolyticum	D9R7P9	D9R7P9
C. saccharolyticum	D9R7Q7	D9R7Q7
C. saccharolyticum	D9R7Q9	D9R040|D9R7Q9
C. saccharolyticum	D9R7R0	D9R7R0
C. saccharolyticum	D9R7R1	D9R7R1
C. saccharolyticum	D9R7R2	D9R7R2
C. saccharolyticum	D9R7R4	D9R7R4
C. saccharolyticum	D9R7R6	D9R7R6
C. saccharolyticum	D9R7R7	D9R7R7
C. saccharolyticum	D9R7R8	D9R7R8
C. saccharolyticum	D9R7R9	D9R7R9
C. saccharolyticum	D9R7S0	D9R7S0
C. saccharolyticum	D9R7S1	D9R2J0|D9R7S1|D9R9H9
C. saccharolyticum	D9R7S2	D9R7S2
C. saccharolyticum	D9R7S3	D9R7S3
C. saccharolyticum	D9R7S7	D9R7S7
C. saccharolyticum	D9R7S8	D9R7S8
C. saccharolyticum	D9R7T0	D9R7T0
C. saccharolyticum	D9R7T1	D9R7T1
C. saccharolyticum	D9R7T2	D9R7T2
C. saccharolyticum	D9R7T3	D9R7T3
C. saccharolyticum	D9R7T4	D9R7T4
C. saccharolyticum	D9R7T7	D9R7T7
C. saccharolyticum	D9R7T9	D9R7T9
C. saccharolyticum	D9R7U5	D9R7U5
C. saccharolyticum	D9R7U7	D9R7U7
C. saccharolyticum	D9R7U8	D9R7U8
C. saccharolyticum	D9R7U9	D9R7U9
C. saccharolyticum	D9R7V0	D9R7V0|D9RAE0
C. saccharolyticum	D9R7V5	D9R7V5
C. saccharolyticum	D9R7V6	D9R1P6|D9R772|D9R7V6
C. saccharolyticum	D9R7V8	D9R7V8
C. saccharolyticum	D9R7V9	D9R7V9
C. saccharolyticum	D9R7W0	D9R7W0
C. saccharolyticum	D9R7W2	D9R7W2
C. saccharolyticum	D9R7W3	D9R7W3
C. saccharolyticum	D9R7W4	D9R2I8|D9R7W4
C. saccharolyticum	D9R7W8	D9R7W8
C. saccharolyticum	D9R7W9	D9R7W9
C. saccharolyticum	D9R7X0	D9R7X0
C. saccharolyticum	D9R7X3	D9R7X3
C. saccharolyticum	D9R7Z6	D9R7Z6
C. saccharolyticum	D9R814	D9R814
C. saccharolyticum	D9R819	D9R819
C. saccharolyticum	D9R822	D9R822
C. saccharolyticum	D9R823	D9R823
C. saccharolyticum	D9R824	D9R824
C. saccharolyticum	D9R825	D9R825
C. saccharolyticum	D9R826	D9R826
C. saccharolyticum	D9R827	D9R827
C. saccharolyticum	D9R834	D9R834
C. saccharolyticum	D9R841	D9R841
C. saccharolyticum	D9R842	D9R842
C. saccharolyticum	D9R843	D9R843
C. saccharolyticum	D9R844	D9R844
C. saccharolyticum	D9R845	D9R845
C. saccharolyticum	D9R848	D9R848
C. saccharolyticum	D9R850	D9R850
C. saccharolyticum	D9R851	D9R851
C. saccharolyticum	D9R853	D9R853
C. saccharolyticum	D9R854	D9R854
C. saccharolyticum	D9R855	D9R855
C. saccharolyticum	D9R858	D9R858
C. saccharolyticum	D9R860	D9R860
C. saccharolyticum	D9R862	D9R862
C. saccharolyticum	D9R863	D9R863
C. saccharolyticum	D9R864	D9R864
C. saccharolyticum	D9R868	D9R868
C. saccharolyticum	D9R870	D9QZS0|D9R870|D9RAT4
C. saccharolyticum	D9R872	D9R872
C. saccharolyticum	D9R873	D9R873
C. saccharolyticum	D9R875	D9R875
C. saccharolyticum	D9R876	D9R876
C. saccharolyticum	D9R877	D9R877
C. saccharolyticum	D9R882	D9R882
C. saccharolyticum	D9R884	D9R884
C. saccharolyticum	D9R886	D9R886
C. saccharolyticum	D9R888	D9R888
C. saccharolyticum	D9R889	D9R889
C. saccharolyticum	D9R890	D9R890
C. saccharolyticum	D9R891	D9R891
C. saccharolyticum	D9R893	D9R893
C. saccharolyticum	D9R894	D9R894
C. saccharolyticum	D9R895	D9R895
C. saccharolyticum	D9R896	D9R896
C. saccharolyticum	D9R899	D9R899
C. saccharolyticum	D9R8A0	D9R8A0
C. saccharolyticum	D9R8A1	D9R8A1
C. saccharolyticum	D9R8A2	D9R8A2
C. saccharolyticum	D9R8A7	D9R8A7
C. saccharolyticum	D9R8B0	D9R8B0|D9R8C5
C. saccharolyticum	D9R8B2	D9R8B2
C. saccharolyticum	D9R8B3	D9R8B3
C. saccharolyticum	D9R8B5	D9R8B5
C. saccharolyticum	D9R8B9	D9R8B9
C. saccharolyticum	D9R8C0	D9R8C0
C. saccharolyticum	D9R8C1	D9R8C1
C. saccharolyticum	D9R8C2	D9R8C2
C. saccharolyticum	D9R8C3	D9R8C3
C. saccharolyticum	D9R8C4	D9R8C4
C. saccharolyticum	D9R8C5	D9R8B0|D9R8C5
C. saccharolyticum	D9R8C6	D9R8C6
C. saccharolyticum	D9R8C7	D9R8C7
C. saccharolyticum	D9R8D0	D9R8D0
C. saccharolyticum	D9R8D2	D9R8D2
C. saccharolyticum	D9R8D3	D9R8D3
C. saccharolyticum	D9R8D7	D9R8D7
C. saccharolyticum	D9R8E0	D9R8E0
C. saccharolyticum	D9R8E1	D9R8E1
C. saccharolyticum	D9R8E4	D9R8E4
C. saccharolyticum	D9R8E6	D9R8E6
C. saccharolyticum	D9R8E7	D9R8E7
C. saccharolyticum	D9R8E9	D9R8E9
C. saccharolyticum	D9R8F0	D9R8F0
C. saccharolyticum	D9R8F4	D9R8F4
C. saccharolyticum	D9R8G6	D9R8G6
C. saccharolyticum	D9R8G7	D9R8G7
C. saccharolyticum	D9R8H9	D9R8H9
C. saccharolyticum	D9R8I0	D9R8I0
C. saccharolyticum	D9R8I8	D9R8I8
C. saccharolyticum	D9R8J0	D9R8J0
C. saccharolyticum	D9R8J1	D9R8J1
C. saccharolyticum	D9R8J5	D9R8J5
C. saccharolyticum	D9R8J8	D9R8J8
C. saccharolyticum	D9R8K1	D9R8K1
C. saccharolyticum	D9R8K2	D9R8K2
C. saccharolyticum	D9R8K4	D9R8K4
C. saccharolyticum	D9R8K5	D9R8K5
C. saccharolyticum	D9R8K7	D9R8K7
C. saccharolyticum	D9R8L2	D9R8L2
C. saccharolyticum	D9R8L3	D9R8L3
C. saccharolyticum	D9R8L4	D9R8L4
C. saccharolyticum	D9R8L6	D9R8L6
C. saccharolyticum	D9R8L7	D9R8L7
C. saccharolyticum	D9R8L8	D9R8L8
C. saccharolyticum	D9R8M0	D9R8M0
C. saccharolyticum	D9R8M1	D9R8M1
C. saccharolyticum	D9R8M2	D9R8M2
C. saccharolyticum	D9R8M6	D9R8M6
C. saccharolyticum	D9R8M7	D9R8M7
C. saccharolyticum	D9R8M9	D9R8M9
C. saccharolyticum	D9R8N2	D9R8N2
C. saccharolyticum	D9R8N3	D9R8N3
C. saccharolyticum	D9R8N4	D9R8N4
C. saccharolyticum	D9R8N5	D9R8N5
C. saccharolyticum	D9R8N6	D9R8N6
C. saccharolyticum	D9R8N7	D9R8N7
C. saccharolyticum	D9R8N8	D9R8N8
C. saccharolyticum	D9R8P0	D9R8P0
C. saccharolyticum	D9R8P1	D9R8P1
C. saccharolyticum	D9R8P2	D9R8P2
C. saccharolyticum	D9R8P4	D9R8P4
C. saccharolyticum	D9R8P5	D9R8P5
C. saccharolyticum	D9R8P6	D9R8P6
C. saccharolyticum	D9R8Q2	D9R8Q2
C. saccharolyticum	D9R8Q4	D9R8Q4
C. saccharolyticum	D9R8Q5	D9R8Q5
C. saccharolyticum	D9R8Q6	D9R8Q6
C. saccharolyticum	D9R8R0	D9R8R0
C. saccharolyticum	D9R8R4	D9R8R4
C. saccharolyticum	D9R8R8	D9R8R8
C. saccharolyticum	D9R8R9	D9R8R9
C. saccharolyticum	D9R8S1	D9R028|D9R8S1
C. saccharolyticum	D9R8S3	D9R8S3
C. saccharolyticum	D9R8S4	D9R8S4
C. saccharolyticum	D9R8S5	D9R8S5
C. saccharolyticum	D9R8S6	D9R8S6
C. saccharolyticum	D9R8S9	D9R8S9
C. saccharolyticum	D9R8T0	D9R8T0
C. saccharolyticum	D9R8T3	D9R8T3
C. saccharolyticum	D9R8T4	D9R8T4
C. saccharolyticum	D9R8T5	D9R8T5
C. saccharolyticum	D9R8T6	D9R8T6
C. saccharolyticum	D9R8T7	D9R8T7
C. saccharolyticum	D9R8U0	D9R8U0
C. saccharolyticum	D9R8U1	D9R8U1
C. saccharolyticum	D9R8U2	D9R8U2
C. saccharolyticum	D9R8U4	D9R8U4
C. saccharolyticum	D9R8U6	D9R8U6
C. saccharolyticum	D9R8U7	D9R8U7
C. saccharolyticum	D9R8V1	D9R8V1
C. saccharolyticum	D9R8V2	D9R8V2
C. saccharolyticum	D9R8V3	D9R8V3
C. saccharolyticum	D9R8V4	D9R8V4
C. saccharolyticum	D9R8V5	D9R8V5
C. saccharolyticum	D9R8V6	D9R8V6
C. saccharolyticum	D9R8V7	D9R8V7
C. saccharolyticum	D9R8V8	D9R8V8
C. saccharolyticum	D9R8W0	D9R8W0
C. saccharolyticum	D9R8W2	D9R8W2
C. saccharolyticum	D9R8W3	D9R8W3
C. saccharolyticum	D9R8W4	D9R8W4
C. saccharolyticum	D9R8W5	D9R8W5
C. saccharolyticum	D9R8W8	D9R8W8
C. saccharolyticum	D9R8X2	D9R8X2
C. saccharolyticum	D9R8X3	D9R8X3
C. saccharolyticum	D9R8X4	D9R8X4
C. saccharolyticum	D9R8X6	D9R8X6
C. saccharolyticum	D9R8X8	D9R8X8
C. saccharolyticum	D9R8X9	D9R8X9
C. saccharolyticum	D9R8Y2	D9R8Y2
C. saccharolyticum	D9R8Y3	D9R8Y3
C. saccharolyticum	D9R8Y4	D9R8Y4
C. saccharolyticum	D9R8Y5	D9R8Y5
C. saccharolyticum	D9R8Y8	D9R8Y8
C. saccharolyticum	D9R911	D9R911
C. saccharolyticum	D9R914	D9R914
C. saccharolyticum	D9R919	D9R919
C. saccharolyticum	D9R942	D9R942
C. saccharolyticum	D9R946	D9R946
C. saccharolyticum	D9R955	D9R955
C. saccharolyticum	D9R958	D9R958
C. saccharolyticum	D9R961	D9R961
C. saccharolyticum	D9R962	D9R962
C. saccharolyticum	D9R963	D9R963
C. saccharolyticum	D9R966	D9R966
C. saccharolyticum	D9R967	D9R967
C. saccharolyticum	D9R968	D9R968
C. saccharolyticum	D9R970	D9R970
C. saccharolyticum	D9R971	D9R971
C. saccharolyticum	D9R972	D9R972
C. saccharolyticum	D9R973	D9R973
C. saccharolyticum	D9R975	D9R975
C. saccharolyticum	D9R976	D9R976
C. saccharolyticum	D9R977	D9R977
C. saccharolyticum	D9R978	D9R978
C. saccharolyticum	D9R981	D9R981
C. saccharolyticum	D9R984	D9R984
C. saccharolyticum	D9R985	D9R985
C. saccharolyticum	D9R992	D9R992
C. saccharolyticum	D9R993	D9R993
C. saccharolyticum	D9R994	D9R994
C. saccharolyticum	D9R995	D9R995
C. saccharolyticum	D9R9A2	D9R9A2
C. saccharolyticum	D9R9A4	D9R9A4
C. saccharolyticum	D9R9A5	D9R9A5
C. saccharolyticum	D9R9B1	D9R9B1
C. saccharolyticum	D9R9B6	D9R9B6
C. saccharolyticum	D9R9B9	D9R9B9
C. saccharolyticum	D9R9C3	D9R9C3
C. saccharolyticum	D9R9C5	D9R9C5
C. saccharolyticum	D9R9C7	D9R9C7
C. saccharolyticum	D9R9C8	D9R9C8
C. saccharolyticum	D9R9C9	D9R9C9
C. saccharolyticum	D9R9D0	D9R9D0
C. saccharolyticum	D9R9D1	D9R9D1
C. saccharolyticum	D9R9D2	D9R9D2|D9RAR8|D9RAZ2
C. saccharolyticum	D9R9D3	D9R9D3
C. saccharolyticum	D9R9D6	D9R9D6
C. saccharolyticum	D9R9D7	D9R9D7
C. saccharolyticum	D9R9D8	D9R9D8
C. saccharolyticum	D9R9D9	D9R9D9
C. saccharolyticum	D9R9E0	D9R9E0
C. saccharolyticum	D9R9E2	D9R9E2
C. saccharolyticum	D9R9E3	D9R9E3
C. saccharolyticum	D9R9E5	D9R9E5
C. saccharolyticum	D9R9E6	D9R9E6
C. saccharolyticum	D9R9E7	D9R9E7
C. saccharolyticum	D9R9E8	D9R9E8
C. saccharolyticum	D9R9E9	D9R9E9
C. saccharolyticum	D9R9F0	D9R9F0
C. saccharolyticum	D9R9F1	D9R9F1
C. saccharolyticum	D9R9F2	D9R9F2
C. saccharolyticum	D9R9F5	D9R9F5
C. saccharolyticum	D9R9F6	D9R9F6
C. saccharolyticum	D9R9F8	D9R9F8
C. saccharolyticum	D9R9F9	D9R9F9
C. saccharolyticum	D9R9G0	D9R9G0
C. saccharolyticum	D9R9G1	D9R9G1
C. saccharolyticum	D9R9G5	D9R9G5
C. saccharolyticum	D9R9G6	D9R9G6
C. saccharolyticum	D9R9G8	D9R9G8
C. saccharolyticum	D9R9G9	D9R9G9
C. saccharolyticum	D9R9H0	D9R9H0
C. saccharolyticum	D9R9H2	D9R9H2
C. saccharolyticum	D9R9H3	D9R9H3
C. saccharolyticum	D9R9H4	D9R9H4
C. saccharolyticum	D9R9H5	D9R9H5
C. saccharolyticum	D9R9H6	D9R9H6
C. saccharolyticum	D9R9H7	D9R9H7
C. saccharolyticum	D9R9H8	D9R9H8
C. saccharolyticum	D9R9H9	D9R2J0|D9R7S1|D9R9H9
C. saccharolyticum	D9R9I0	D9R9I0
C. saccharolyticum	D9R9I1	D9R9I1
C. saccharolyticum	D9R9I3	D9R9I3
C. saccharolyticum	D9R9I4	D9R9I4
C. saccharolyticum	D9R9I7	D9R9I7
C. saccharolyticum	D9R9J4	D9R9J4
C. saccharolyticum	D9R9J5	D9R9J5
C. saccharolyticum	D9R9J6	D9R9J6
C. saccharolyticum	D9R9K3	D9R9K3
C. saccharolyticum	D9R9K8	D9R9K8
C. saccharolyticum	D9R9L0	D9R9L0
C. saccharolyticum	D9R9L1	D9R9L1
C. saccharolyticum	D9R9L2	D9R9L2
C. saccharolyticum	D9R9L4	D9R9L4
C. saccharolyticum	D9R9L5	D9R9L5
C. saccharolyticum	D9R9L6	D9R9L6
C. saccharolyticum	D9R9L7	D9R9L7
C. saccharolyticum	D9R9L9	D9R9L9
C. saccharolyticum	D9R9M1	D9R9M1
C. saccharolyticum	D9R9M2	D9R9M2
C. saccharolyticum	D9R9N0	D9R9N0
C. saccharolyticum	D9R9N1	D9R9N1
C. saccharolyticum	D9R9N2	D9R6P3|D9R9N2
C. saccharolyticum	D9R9N3	D9R9N3
C. saccharolyticum	D9R9N4	D9R9N4
C. saccharolyticum	D9R9N5	D9R9N5
C. saccharolyticum	D9R9N6	D9R9N6
C. saccharolyticum	D9R9N7	D9R9N7
C. saccharolyticum	D9R9P6	D9R9P6
C. saccharolyticum	D9R9P9	D9R9P9
C. saccharolyticum	D9R9Q7	D9R9Q7
C. saccharolyticum	D9R9Q9	D9R9Q9
C. saccharolyticum	D9R9R0	D9R9R0
C. saccharolyticum	D9R9R1	D9R9R1
C. saccharolyticum	D9R9R2	D9R9R2
C. saccharolyticum	D9R9R3	D9R9R3
C. saccharolyticum	D9R9R9	D9R9R9
C. saccharolyticum	D9R9S0	D9R9S0
C. saccharolyticum	D9R9S1	D9R9S1
C. saccharolyticum	D9R9S2	D9R9S2
C. saccharolyticum	D9R9S3	D9R9S3
C. saccharolyticum	D9R9S4	D9R9S4
C. saccharolyticum	D9R9S5	D9R9S5
C. saccharolyticum	D9R9S6	D9R9S6
C. saccharolyticum	D9R9S7	D9R9S7
C. saccharolyticum	D9R9S8	D9R9S8
C. saccharolyticum	D9R9S9	D9R9S9
C. saccharolyticum	D9R9T4	D9R9T4
C. saccharolyticum	D9R9T5	D9R9T5
C. saccharolyticum	D9R9U1	D9R9U1
C. saccharolyticum	D9R9U6	D9R9U6
C. saccharolyticum	D9R9U7	D9R9U7
C. saccharolyticum	D9R9U9	D9R9U9
C. saccharolyticum	D9R9V0	D9R9V0
C. saccharolyticum	D9R9V1	D9R9V1
C. saccharolyticum	D9R9V2	D9R9V2
C. saccharolyticum	D9R9V5	D9R9V5
C. saccharolyticum	D9R9V6	D9R9V6
C. saccharolyticum	D9R9V7	D9R9V7
C. saccharolyticum	D9R9V8	D9R9V8
C. saccharolyticum	D9R9W3	D9R9W3
C. saccharolyticum	D9R9W5	D9R9W5
C. saccharolyticum	D9R9W7	D9R9W7
C. saccharolyticum	D9R9W9	D9R9W9
C. saccharolyticum	D9R9X0	D9R9X0
C. saccharolyticum	D9R9X2	D9R9X2
C. saccharolyticum	D9R9X3	D9R9X3
C. saccharolyticum	D9R9X4	D9R9X4
C. saccharolyticum	D9R9X6	D9R9X6
C. saccharolyticum	D9R9X7	D9R9X7
C. saccharolyticum	D9R9X8	D9R9X8
C. saccharolyticum	D9R9X9	D9R9X9
C. saccharolyticum	D9R9Y0	D9R9Y0
C. saccharolyticum	D9R9Y1	D9R9Y1
C. saccharolyticum	D9R9Y2	D9R9Y2
C. saccharolyticum	D9R9Z3	D9R9Z3
C. saccharolyticum	D9R9Z5	D9R9Z5
C. saccharolyticum	D9R9Z6	D9R9Z6
C. saccharolyticum	D9R9Z8	D9R9Z8
C. saccharolyticum	D9RA01	D9RA01
C. saccharolyticum	D9RA08	D9RA08
C. saccharolyticum	D9RA10	D9RA10
C. saccharolyticum	D9RA11	D9RA11
C. saccharolyticum	D9RA12	D9RA12
C. saccharolyticum	D9RA13	D9RA13
C. saccharolyticum	D9RA14	D9RA14
C. saccharolyticum	D9RA17	D9RA17
C. saccharolyticum	D9RA18	D9RA18
C. saccharolyticum	D9RA22	D9RA22
C. saccharolyticum	D9RA23	D9RA23
C. saccharolyticum	D9RA27	D9RA27
C. saccharolyticum	D9RA28	D9RA28
C. saccharolyticum	D9RA29	D9RA29
C. saccharolyticum	D9RA31	D9RA31
C. saccharolyticum	D9RA32	D9RA32
C. saccharolyticum	D9RA33	D9RA33
C. saccharolyticum	D9RA36	D9RA36
C. saccharolyticum	D9RA38	D9RA38
C. saccharolyticum	D9RA39	D9RA39
C. saccharolyticum	D9RA40	D9RA40
C. saccharolyticum	D9RA41	D9RA41
C. saccharolyticum	D9RA44	D9RA44
C. saccharolyticum	D9RA55	D9RA55
C. saccharolyticum	D9RA70	D9RA70
C. saccharolyticum	D9RA74	D9RA74
C. saccharolyticum	D9RA76	D9RA76
C. saccharolyticum	D9RA77	D9RA77
C. saccharolyticum	D9RA87	D9RA87
C. saccharolyticum	D9RA88	D9RA88
C. saccharolyticum	D9RA89	D9RA89
C. saccharolyticum	D9RA90	D9RA90
C. saccharolyticum	D9RA91	D9RA91
C. saccharolyticum	D9RA92	D9RA92
C. saccharolyticum	D9RA93	D9RA93
C. saccharolyticum	D9RA96	D9RA96
C. saccharolyticum	D9RA97	D9RA97
C. saccharolyticum	D9RA98	D9RA98
C. saccharolyticum	D9RA99	D9RA99
C. saccharolyticum	D9RAA0	D9RAA0
C. saccharolyticum	D9RAA2	D9RAA2
C. saccharolyticum	D9RAA3	D9RAA3
C. saccharolyticum	D9RAA4	D9R601|D9RAA4
C. saccharolyticum	D9RAA5	D9RAA5
C. saccharolyticum	D9RAA6	D9RAA6
C. saccharolyticum	D9RAA7	D9RAA7
C. saccharolyticum	D9RAA9	D9RAA9
C. saccharolyticum	D9RAB0	D9RAB0
C. saccharolyticum	D9RAB3	D9RAB3
C. saccharolyticum	D9RAB4	D9RAB4
C. saccharolyticum	D9RAB5	D9RAB5
C. saccharolyticum	D9RAB7	D9RAB7
C. saccharolyticum	D9RAB8	D9RAB8
C. saccharolyticum	D9RAB9	D9RAB9
C. saccharolyticum	D9RAC0	D9RAC0
C. saccharolyticum	D9RAC4	D9RAC4
C. saccharolyticum	D9RAC5	D9RAC5
C. saccharolyticum	D9RAC6	D9RAC6
C. saccharolyticum	D9RAC7	D9RAC7
C. saccharolyticum	D9RAC8	D9RAC8
C. saccharolyticum	D9RAC9	D9RAC9
C. saccharolyticum	D9RAD1	D9RAD1
C. saccharolyticum	D9RAD3	D9RAD3
C. saccharolyticum	D9RAD7	D9RAD7
C. saccharolyticum	D9RAD8	D9RAD8
C. saccharolyticum	D9RAD9	D9RAD9
C. saccharolyticum	D9RAE0	D9R7V0|D9RAE0
C. saccharolyticum	D9RAE1	D9RAE1
C. saccharolyticum	D9RAE2	D9RAE2
C. saccharolyticum	D9RAE3	D9RAE3
C. saccharolyticum	D9RAE6	D9RAE6
C. saccharolyticum	D9RAE7	D9RAE7
C. saccharolyticum	D9RAE9	D9RAE9
C. saccharolyticum	D9RAF3	D9RAF3
C. saccharolyticum	D9RAF4	D9RAF4
C. saccharolyticum	D9RAF5	D9RAF5
C. saccharolyticum	D9RAG0	D9RAG0
C. saccharolyticum	D9RAG1	D9RAG1
C. saccharolyticum	D9RAG3	D9RAG3
C. saccharolyticum	D9RAG4	D9RAG4
C. saccharolyticum	D9RAG5	D9RAG5
