organism	protein_id	original_protein_id
C. saccharolyticum	D9QZU7	D9QZU7
C. saccharolyticum	D9QZU9	D9QZU9
C. saccharolyticum	D9QZV0	D9QZV0
C. saccharolyticum	D9QZV4	D9QZV4
C. saccharolyticum	D9QZV5	D9QZV5
C. saccharolyticum	D9QZV7	D9QZV7
C. saccharolyticum	D9QZV8	D9QZV8
C. saccharolyticum	D9QZV9	D9QZV9
C. saccharolyticum	D9QZW0	D9QZW0
C. saccharolyticum	D9QZW1	D9QZW1
C. saccharolyticum	D9QZW2	D9QZW2
C. saccharolyticum	D9QZW3	D9QZW3
C. saccharolyticum	D9QZW6	D9QZW6
C. saccharolyticum	D9QZX6	D9QZX6
C. saccharolyticum	D9QZX7	D9QZX7
C. saccharolyticum	D9QZX8	D9QZX8
C. saccharolyticum	D9QZX9	D9QZX9
C. saccharolyticum	D9QZY0	D9QZY0
C. saccharolyticum	D9QZY1	D9QZY1
C. saccharolyticum	D9QZY2	D9QZY2
C. saccharolyticum	D9QZY3	D9QZY3
C. saccharolyticum	D9QZY4	D9QZY4
C. saccharolyticum	D9QZY5	D9QZY5
C. saccharolyticum	D9QZY6	D9QZY6
C. saccharolyticum	D9QZY7	D9QZY7
C. saccharolyticum	D9QZY8	D9QZY8
C. saccharolyticum	D9QZZ0	D9QZZ0
C. saccharolyticum	D9QZZ1	D9QZZ1
C. saccharolyticum	D9QZZ2	D9QZZ2
C. saccharolyticum	D9QZZ6	D9QZZ6
C. saccharolyticum	D9R001	D9R001
C. saccharolyticum	D9R002	D9R002
C. saccharolyticum	D9R003	D9R003
C. saccharolyticum	D9R004	D9R004
C. saccharolyticum	D9R006	D9R006
C. saccharolyticum	D9R007	D9R007
C. saccharolyticum	D9R008	D9R008
C. saccharolyticum	D9R009	D9R009
C. saccharolyticum	D9R010	D9R010
C. saccharolyticum	D9R012	D9R012
C. saccharolyticum	D9R013	D9R013
C. saccharolyticum	D9R014	D9R014
C. saccharolyticum	D9R015	D9R015
C. saccharolyticum	D9R016	D9R016
C. saccharolyticum	D9R017	D9R017
C. saccharolyticum	D9R018	D9R018
C. saccharolyticum	D9R019	D9R019
C. saccharolyticum	D9R020	D9R020
C. saccharolyticum	D9R022	D9R022
C. saccharolyticum	D9R023	D9R023
C. saccharolyticum	D9R024	D9R024
C. saccharolyticum	D9R025	D9R025
C. saccharolyticum	D9R027	D9R027|D9R1L8|D9R7G4
C. saccharolyticum	D9R028	D9R028|D9R8S1
C. saccharolyticum	D9R032	D9R032
C. saccharolyticum	D9R037	D9R037
C. saccharolyticum	D9R040	D9R040|D9R7Q9
C. saccharolyticum	D9R041	D9R041
C. saccharolyticum	D9R042	D9R042
C. saccharolyticum	D9R043	D9R043
C. saccharolyticum	D9R044	D9R044
C. saccharolyticum	D9R045	D9R045
C. saccharolyticum	D9R047	D9R047
C. saccharolyticum	D9R048	D9R048
C. saccharolyticum	D9R049	D9R049
C. saccharolyticum	D9R050	D9R050
C. saccharolyticum	D9R054	D9R054
C. saccharolyticum	D9R073	D9R073
C. saccharolyticum	D9R074	D9R074
C. saccharolyticum	D9R075	D9R075
C. saccharolyticum	D9R076	D9R076
C. saccharolyticum	D9R077	D9R077
C. saccharolyticum	D9R079	D9R079
C. saccharolyticum	D9R080	D9R080
C. saccharolyticum	D9R083	D9R083
C. saccharolyticum	D9R085	D9R085
C. saccharolyticum	D9R086	D9R086
C. saccharolyticum	D9R087	D9R087
C. saccharolyticum	D9R088	D9R088
C. saccharolyticum	D9R089	D9R089
C. saccharolyticum	D9R090	D9R090
C. saccharolyticum	D9R092	D9R092
C. saccharolyticum	D9R095	D9R095
C. saccharolyticum	D9R099	D9R099
C. saccharolyticum	D9R0A0	D9R0A0
C. saccharolyticum	D9R0A5	D9R0A5
C. saccharolyticum	D9R0A7	D9R0A7
C. saccharolyticum	D9R0B0	D9R0B0
C. saccharolyticum	D9R0B2	D9R0B2
C. saccharolyticum	D9R0B4	D9R0B4
C. saccharolyticum	D9R0B5	D9R0B5
C. saccharolyticum	D9R0B9	D9R0B9
C. saccharolyticum	D9R0C1	D9R0C1
C. saccharolyticum	D9R0C4	D9R0C4
C. saccharolyticum	D9R0C5	D9R0C5
C. saccharolyticum	D9R0C6	D9R0C6
C. saccharolyticum	D9R0C7	D9R0C7
C. saccharolyticum	D9R0C8	D9R0C8
C. saccharolyticum	D9R0D0	D9R0D0
C. saccharolyticum	D9R0D1	D9R0D1
C. saccharolyticum	D9R0D2	D9R0D2|D9R169
C. saccharolyticum	D9R0D3	D9R0D3
C. saccharolyticum	D9R0D4	D9R0D4
C. saccharolyticum	D9R0D5	D9R0D5
C. saccharolyticum	D9R0D7	D9R0D7
C. saccharolyticum	D9R0D8	D9R0D8
C. saccharolyticum	D9R0D9	D9R0D9
C. saccharolyticum	D9R0E0	D9R0E0
C. saccharolyticum	D9R0E1	D9R0E1
C. saccharolyticum	D9R0E2	D9R0E2
C. saccharolyticum	D9R0E3	D9R0E3
C. saccharolyticum	D9R0F3	D9R0F3
C. saccharolyticum	D9R0F4	D9R0F4
C. saccharolyticum	D9R0G2	D9R0G2
C. saccharolyticum	D9R0G3	D9R0G3
C. saccharolyticum	D9R0G4	D9R0G4
C. saccharolyticum	D9R0G5	D9R0G5
C. saccharolyticum	D9R0G6	D9R0G6
C. saccharolyticum	D9R0G7	D9R0G7
C. saccharolyticum	D9R0G8	D9R0G8
C. saccharolyticum	D9R0G9	D9R0G9|D9R0X0
C. saccharolyticum	D9R0H1	D9R0H1
C. saccharolyticum	D9R0H2	D9R0H2
C. saccharolyticum	D9R0H3	D9R0H3
C. saccharolyticum	D9R0H4	D9R0H4
C. saccharolyticum	D9R0H5	D9R0H5
C. saccharolyticum	D9R0H6	D9R0H6
C. saccharolyticum	D9R0H7	D9R0H7
C. saccharolyticum	D9R0I0	D9R0I0
C. saccharolyticum	D9R0I2	D9R0I2
C. saccharolyticum	D9R0I5	D9R0I5
C. saccharolyticum	D9R0J0	D9R0J0
C. saccharolyticum	D9R0J1	D9R0J1
C. saccharolyticum	D9R0J3	D9R0J3
C. saccharolyticum	D9R0J5	D9R0J5
C. saccharolyticum	D9R0J9	D9R0J9
C. saccharolyticum	D9R0K0	D9R0K0
C. saccharolyticum	D9R0K6	D9R0K6
C. saccharolyticum	D9R0L1	D9R0L1
C. saccharolyticum	D9R0L2	D9R0L2
C. saccharolyticum	D9R0L3	D9R0L3
C. saccharolyticum	D9R0L6	D9R0L6
C. saccharolyticum	D9R0M0	D9R0M0
C. saccharolyticum	D9R0M1	D9R0M1
C. saccharolyticum	D9R0M2	D9R0M2
C. saccharolyticum	D9R0M3	D9R0M3
C. saccharolyticum	D9R0M4	D9R0M4
C. saccharolyticum	D9R0M6	D9R0M6
C. saccharolyticum	D9R0M7	D9R0M7
C. saccharolyticum	D9R0M8	D9R0M8
C. saccharolyticum	D9R0M9	D9R0M9
C. saccharolyticum	D9R0N0	D9R0N0
C. saccharolyticum	D9R0N1	D9R0N1
C. saccharolyticum	D9R0N2	D9R0N2
C. saccharolyticum	D9R0N3	D9R0N3
C. saccharolyticum	D9R0N4	D9R0N4
C. saccharolyticum	D9R0N5	D9R0N5
C. saccharolyticum	D9R0N7	D9R0N7
C. saccharolyticum	D9R0P0	D9R0P0
C. saccharolyticum	D9R0P2	D9R0P2
C. saccharolyticum	D9R0P5	D9R0P5
C. saccharolyticum	D9R0P6	D9R0P6
C. saccharolyticum	D9R0P7	D9R0P7
C. saccharolyticum	D9R0P8	D9R0P8
C. saccharolyticum	D9R0P9	D9R0P9
C. saccharolyticum	D9R0Q0	D9R0Q0
C. saccharolyticum	D9R0Q1	D9R0Q1
C. saccharolyticum	D9R0Q2	D9R0Q2
C. saccharolyticum	D9R0Q3	D9R0Q3
C. saccharolyticum	D9R0Q6	D9R0Q6
C. saccharolyticum	D9R0Q7	D9R0Q7
C. saccharolyticum	D9R0R0	D9R0R0
C. saccharolyticum	D9R0R2	D9R0R2
C. saccharolyticum	D9R0R4	D9R0R4
C. saccharolyticum	D9R0R5	D9R0R5
C. saccharolyticum	D9R0R6	D9R0R6
C. saccharolyticum	D9R0R7	D9R0R7
C. saccharolyticum	D9R0R8	D9R0R8
C. saccharolyticum	D9R0R9	D9R0R9
C. saccharolyticum	D9R0S5	D9R0S5
C. saccharolyticum	D9R0S9	D9R0S9
C. saccharolyticum	D9R0T0	D9R0T0
C. saccharolyticum	D9R0T1	D9R0T1
C. saccharolyticum	D9R0T2	D9R0T2
