protein_id	has_hits.lysate_Csaccharolyticum	has_hits.lysate_ED1a	has_hits.lysate_IAI1	has_hits.whole_ED1a	has_hits.whole_IAI1
B7MUN2		destabilized			
B7MUV0		destabilized			
B7MUW1		stabilized			
B7MV29		destabilized			
B7MV36		stabilized			
B7MV38				destabilized	
B7MV70		destabilized			
B7MV72		destabilized			
B7MV86		stabilized			
B7MV93		destabilized			
B7MV94				stabilized	
B7MVA0		stabilized			
B7MVA1		destabilized			
B7MVA3		destabilized			
B7MVA6				stabilized	
B7MVB2				destabilized	
B7MVB3				stabilized	
B7MVB5				stabilized	
B7MVC0		destabilized		destabilized	
B7MVD0		destabilized			
B7MVF2				destabilized	
B7MVF4		destabilized			
B7MVJ4		destabilized			
B7MVK2		stabilized			
B7MVK6				stabilized	
B7MVL2		stabilized			
B7MVN3				stabilized	
B7MVP6				stabilized	
B7MVQ3				stabilized	
B7MVQ9		destabilized			
B7MVR0		destabilized			
B7MVR9				destabilized	
B7MVT9		destabilized			
B7MVU3		destabilized			
B7MVU9		destabilized			
B7MVV2		destabilized			
B7MVX0		destabilized			
B7MVZ3		destabilized			
B7MVZ5		stabilized			
B7MW03				destabilized	
B7MW07		stabilized			
B7MW57		stabilized			
B7MW70		destabilized			
B7MW84		stabilized			
B7MW92		destabilized			
B7MW95		destabilized			
B7MW96		destabilized			
B7MW98		destabilized			
B7MW99				stabilized	
B7MWA2		destabilized			
B7MWA6				stabilized	
B7MWE9		stabilized			
B7MWS8		destabilized			
B7MWT8		destabilized			
B7MWU1				stabilized	
B7MWU9		stabilized			
B7MWV0		destabilized			
B7MWV6				stabilized	
B7MX29		destabilized			
B7MX36		destabilized			
B7MX84		destabilized			
B7MXE0		destabilized			
B7MXE4		stabilized			
B7MXE9		destabilized			
B7MXF8				stabilized	
B7MXF9				stabilized	
B7MXG0				stabilized	
B7MXG2				stabilized	
B7MXG5				stabilized	
B7MXG7				stabilized	
B7MXH2		destabilized			
B7MXJ1		stabilized			
B7MXK3		destabilized		stabilized	
B7MXK9		destabilized			
B7MXM5		stabilized		stabilized	
B7MXM7				stabilized	
B7MXP0		destabilized			
B7MXP2		destabilized			
B7MXP8		destabilized			
B7MXR3		destabilized			
B7MXS1		stabilized			
B7MXS2				stabilized	
B7MXS4		destabilized			
B7MXS9				stabilized	
B7MXT1		destabilized			
B7MXT3		destabilized			
B7MXV7		stabilized			
B7MXW2				destabilized	
B7MXW3				destabilized	
B7MXW5				stabilized	
B7MXW9		stabilized			
B7MXX7		stabilized			
B7MXY6		destabilized			
B7MXZ1		destabilized			
B7MY17		stabilized		stabilized	
B7MY29				stabilized	
B7MY50				destabilized	
B7MY62				stabilized	
B7MY71		stabilized			
B7MY73				stabilized	
B7MY78				destabilized	
B7MY85		destabilized			
B7MY86		stabilized			
B7MY90		destabilized			
B7MY91		destabilized			
B7MY94		stabilized			
B7MYA0		stabilized			
B7MYA2				destabilized	
B7MYB5		destabilized			
B7MYB7				stabilized	
B7MYC2		destabilized			
B7MYC4		stabilized			
B7MYC5				destabilized	
B7MYC7		destabilized			
B7MYE8		destabilized		destabilized	
B7MYF4		stabilized			
B7MYF7		destabilized		destabilized	
B7MYF9		stabilized		destabilized	
B7MYG1		stabilized			
B7MYG4		destabilized			
B7MYG5		stabilized			
B7MYG6		stabilized			
B7MYI0		destabilized			
B7MYI3		stabilized			
B7MYI4		destabilized			
B7MYJ4		destabilized			
B7MYK1		stabilized			
B7MYK5				destabilized	
B7MYL3		destabilized			
B7MYN6				stabilized	
B7MYU2		destabilized		stabilized	
B7MYW3				stabilized	
B7MYW7		destabilized			
B7MYW9		destabilized			
B7MYX1		destabilized			
B7MYY3		destabilized			
B7MYZ0				stabilized	
B7MZ02				stabilized	
B7MZ05		destabilized			
B7MZ08		destabilized			
B7MZ21		destabilized			
B7MZ22				stabilized	
B7MZ33		destabilized			
B7MZ49		destabilized			
B7MZ50		stabilized			
B7MZ72		stabilized		stabilized	
B7MZ78		destabilized			
B7MZ86		destabilized			
B7MZ93				destabilized	
B7MZ95		destabilized			
B7MZA0		stabilized			
B7MZA2		destabilized		destabilized	
B7MZA6		destabilized			
B7MZE3		destabilized			
B7MZI9		stabilized			
B7MZJ1		destabilized			
B7MZJ2				destabilized	
B7MZK5		destabilized			
B7MZK7		destabilized			
B7MZK9		destabilized			
B7MZL5		destabilized			
B7MZN4		stabilized		stabilized	
B7MZP2		stabilized			
B7MZQ1		stabilized			
B7MZQ2		destabilized		stabilized	
B7MZQ3		destabilized		destabilized	
B7MZS0				destabilized	
B7MZS1		destabilized			
B7MZS8		stabilized			
B7MZV7		destabilized			
B7N072		destabilized			
B7N082				destabilized	
B7N0A2		destabilized			
B7N0A8				stabilized	
B7N0B8		destabilized			
B7N0C0		destabilized			
B7N0C6		destabilized		destabilized	
B7N0E9		stabilized			
B7N0H0				destabilized	
B7N0I2		destabilized			
B7N0I3		destabilized			
B7N0J7				destabilized	
B7N0J8		destabilized			
B7N0K2		stabilized		destabilized	
B7N0L7		stabilized			
B7N0L8		destabilized			
B7N0M0		destabilized			
B7N0N8		stabilized			
B7N0P1		destabilized			
B7N0P7		stabilized		destabilized	
B7N0P8				stabilized	
B7N0Q5		destabilized			
B7N0Q9		destabilized			
B7N0R4				destabilized	
B7N0R7				stabilized	
B7N0S2		stabilized			
B7N0T4				stabilized	
B7N0U1		destabilized			
B7N0V2				destabilized	
B7N0V4		stabilized			
B7N0V8		destabilized			
B7N0V9		destabilized			
B7N0W0		destabilized			
B7N0W5		destabilized			
B7N0W8		destabilized			
B7N0X1		destabilized			
B7N0X4		destabilized			
B7N0X5		destabilized			
B7N0Y0				stabilized	
B7N0Y1		stabilized			
B7N0Y4				destabilized	
B7N0Y5				stabilized	
B7N0Z3		destabilized			
B7N100		destabilized			
B7N101		destabilized			
B7N102				destabilized	
B7N103		stabilized			
B7N107		stabilized			
B7N109		destabilized			
B7N118		destabilized			
B7N128				destabilized	
B7N134		stabilized			
B7N141		destabilized			
B7N147		destabilized			
B7N158		stabilized			
B7N167		destabilized			
B7N171				stabilized	
B7N180		stabilized			
B7N185		destabilized			
B7N189				stabilized	
B7N194		destabilized			
B7N196		destabilized			
B7N197		destabilized			
B7N198		destabilized			
B7N1A1		destabilized			
B7N1A3		destabilized			
B7N1A4		destabilized			
B7N1A5		stabilized		stabilized	
B7N1D6		stabilized			
B7N1E6		stabilized			
B7N1G4		destabilized			
B7N1H6		stabilized			
B7N1L1				destabilized	
B7N1M2				stabilized	
B7N1N7		stabilized			
B7N1Q8		destabilized			
B7N1R4		destabilized			
B7N1S1		stabilized			
B7N1S3				stabilized	
B7N1S6		stabilized			
B7N1T1		stabilized			
B7N1T5		destabilized			
B7N1V0				stabilized	
B7N1V1		destabilized			
B7N1V5		destabilized			
B7N1W6				destabilized	
B7N1W9		stabilized			
B7N1Z2		destabilized			
B7N1Z3				stabilized	
B7N201		destabilized			
B7N219				destabilized	
B7N220				destabilized	
B7N239		destabilized			
B7N244		destabilized		stabilized	
B7N251				stabilized	
B7N273		destabilized		destabilized	
B7N274				stabilized	
B7N275		destabilized			
B7N277		destabilized			
B7N278				stabilized	
B7N281		stabilized		stabilized	
B7N293		destabilized			
B7N2D2		destabilized		stabilized	
B7N2D6		destabilized			
B7N2E5		destabilized		destabilized	
B7N2F2				destabilized	
B7N2G0		destabilized		stabilized	
B7N2G4		stabilized			
B7N2G7				destabilized	
B7N2G8				destabilized	
B7N2G9				stabilized	
B7N2H1				stabilized	
B7N2H6		destabilized			
B7N2I7				destabilized	
B7N2K2		destabilized			
B7N2K3				stabilized	
B7N2K5				stabilized	
B7N2M1		destabilized			
B7N2P1				destabilized	
B7N2P5		destabilized			
B7N2Q3		stabilized		stabilized	
B7N2Q4				stabilized	
B7N2R6				destabilized	
B7N2R9		destabilized			
B7N2S2		destabilized			
B7N2S3		destabilized			
B7N2S5		destabilized			
B7N2T5				stabilized	
B7N2T7		destabilized			
B7N2U6		destabilized			
B7N2V3		destabilized			
B7N2V8		destabilized			
B7N2W1		stabilized			
B7N2W3		destabilized			
B7N2X2		destabilized			
B7N2X6				destabilized	
B7N2Y5		destabilized			
B7N2Y8		stabilized			
B7N303		destabilized			
B7N305		destabilized			
B7N359		stabilized		stabilized	
B7N367				stabilized	
B7N376		stabilized			
B7N381		destabilized			
D9QZ40	destabilized				
D9QZ50	destabilized				
D9QZC3	stabilized				
D9QZD4	stabilized				
D9QZF8	stabilized				
D9QZG2	stabilized				
D9QZM7	destabilized				
D9QZM8	destabilized				
D9QZV4	stabilized				
D9QZY1	stabilized				
D9QZY8	stabilized				
D9R013	stabilized				
D9R025	stabilized				
D9R048	destabilized				
D9R0C4	stabilized				
D9R0C7	destabilized				
D9R0M0	stabilized				
D9R0N5	destabilized				
D9R0R8	stabilized				
D9R0V6	stabilized				
D9R0Z3	destabilized				
D9R140	stabilized				
D9R158	stabilized				
D9R161	stabilized				
D9R176	stabilized				
D9R194	stabilized				
D9R1C8	stabilized				
D9R1D0	stabilized				
D9R1L2	destabilized				
D9R1M3	destabilized				
D9R1Q7	destabilized				
D9R1S2	destabilized				
D9R235	stabilized				
D9R251	stabilized				
D9R258	stabilized				
D9R260	destabilized				
D9R277	stabilized				
D9R2A3	stabilized				
D9R2B4	destabilized				
D9R2D5	destabilized				
D9R2D8	stabilized				
D9R2H7	stabilized				
D9R2R0	stabilized				
D9R2V8	stabilized				
D9R2W4	destabilized				
D9R326	destabilized				
D9R344	destabilized				
D9R371	destabilized				
D9R372	stabilized				
D9R382	stabilized				
D9R395	stabilized				
D9R3C9	stabilized				
D9R3F1	destabilized				
D9R3G8	destabilized				
D9R3H0	stabilized				
D9R3H7	destabilized				
D9R3S2	stabilized				
D9R3T7	destabilized				
D9R3W3	stabilized				
D9R3X6	stabilized				
D9R3X9	stabilized				
D9R3Z4	destabilized				
D9R415	stabilized				
D9R430	destabilized				
D9R471	stabilized				
D9R4B2	stabilized				
D9R4F3	stabilized				
D9R4F4	stabilized				
D9R4H4	destabilized				
D9R4M0	stabilized				
D9R4Q4	stabilized				
D9R4Q8	stabilized				
D9R4R5	stabilized				
D9R4S5	destabilized				
D9R4X6	destabilized				
D9R4Y1	stabilized				
D9R4Z9	destabilized				
D9R507	destabilized				
D9R544	destabilized				
D9R589	stabilized				
D9R590	destabilized				
D9R5C9	stabilized				
D9R5M8	stabilized				
D9R5Y0	stabilized				
D9R5Y5	destabilized				
D9R624	destabilized				
D9R658	destabilized				
D9R668	stabilized				
D9R692	stabilized				
D9R6F5	stabilized				
D9R6F7	stabilized				
D9R6I9	destabilized				
D9R6L1	stabilized				
D9R6P7	destabilized				
D9R6R2	stabilized				
D9R6U9	stabilized				
D9R6W6	stabilized				
D9R6Z9	stabilized				
D9R705	stabilized				
D9R742	stabilized				
D9R763	stabilized				
D9R774	stabilized				
D9R783	destabilized				
D9R7A4	stabilized				
D9R7B2	stabilized				
D9R7B8	stabilized				
D9R7C1	stabilized				
D9R7C6	destabilized				
D9R7H3	stabilized				
D9R7K3	destabilized				
D9R7R0	stabilized				
D9R7R9	stabilized				
D9R7T0	destabilized				
D9R7T3	stabilized				
D9R7X3	stabilized				
D9R827	destabilized				
D9R848	stabilized				
D9R850	stabilized				
D9R8F0	stabilized				
D9R8N6	stabilized				
D9R8R4	stabilized				
D9R8S3	stabilized				
D9R8S5	stabilized				
D9R8T0	destabilized				
D9R8T6	stabilized				
D9R911	stabilized				
D9R919	destabilized				
D9R942	stabilized				
D9R962	destabilized				
D9R995	destabilized				
D9R9C3	destabilized				
D9R9C5	stabilized				
D9R9D1	destabilized				
D9R9D3	stabilized				
D9R9G5	stabilized				
D9R9H3	destabilized				
D9R9H8	destabilized				
D9R9N0	stabilized				
D9R9N1	destabilized				
D9R9S4	destabilized				
D9R9V1	destabilized				
D9R9Y0	stabilized				
D9RA11	destabilized				
D9RA17	destabilized				
D9RA29	stabilized				
D9RA76	destabilized				
D9RA97	stabilized				
D9RAA6	destabilized				
D9RAB5	destabilized				
D9RAC6	destabilized				
D9RAC8	destabilized				
D9RAE6	stabilized				
D9RAR2	stabilized				
D9RAR3	stabilized				
D9RAR4	stabilized				
D9RAS2	stabilized				
