protein_id	has_hits.lysate_Csaccharolyticum	has_hits.lysate_ED1a	has_hits.lysate_IAI1	has_hits.whole_ED1a	has_hits.whole_IAI1
P15639					destabilized
P16256			stabilized		
P16432					destabilized
P16456					stabilized
P16525			destabilized		
P16659					stabilized
P16703					destabilized
P17109					stabilized
P17117			destabilized		
P18776					destabilized
P19926			destabilized		
P19931			destabilized		
P19932			destabilized		
P19934			stabilized		
P20099			stabilized		
P21165			destabilized		stabilized
P21345			stabilized		
P21420					destabilized
P21513					stabilized
P21517			destabilized		
P21599					stabilized
P21888			stabilized		
P22186					stabilized
P22256					stabilized
P22259					stabilized
P22564					stabilized
P23305					stabilized
P23367			destabilized		
P23839			destabilized		
P23842					destabilized
P23847			destabilized		
P23857			destabilized		stabilized
P23869					stabilized
P23873			destabilized		
P23886					destabilized
P23894			destabilized		destabilized
P23908					stabilized
P23917					stabilized
P24171					stabilized
P24186					destabilized
P24192			destabilized		
P24215			destabilized		
P24224			destabilized		
P24230					stabilized
P24251					stabilized
P24255			destabilized		
P25437					stabilized
P25516			destabilized		destabilized
P25535			stabilized		
P25536			stabilized		
P25665					stabilized
P25718					destabilized
P25741			stabilized		
P25888			destabilized		
P25894			stabilized		
P26458					destabilized
P27248			destabilized		
P27278					stabilized
P27303			stabilized		
P27306			stabilized		
P27830			stabilized		
P27859					stabilized
P28306					stabilized
P28903			stabilized		
P29018					stabilized
P29131			destabilized		
P29208					stabilized
P29217			destabilized		
P30130			destabilized		
P30177					destabilized
P30750					stabilized
P31063					stabilized
P31064			stabilized		
P31119					stabilized
P31120			destabilized		
P31455			destabilized		
P31466					stabilized
P31553			stabilized		
P31658			destabilized		
P31680			stabilized		
P31979					destabilized
P32140			stabilized		
P32144			destabilized		
P32157					destabilized
P32162			destabilized		
P32166			stabilized		
P32684			destabilized		
P33018					stabilized
P33218			destabilized		
P33221					stabilized
P33363					stabilized
P35340					stabilized
P36655					destabilized
P36673					stabilized
P36680					stabilized
P37024			destabilized		
P37051					stabilized
P37095			destabilized		
P37127					stabilized
P37147			destabilized		
P37177					stabilized
P37180					stabilized
P37182			stabilized		destabilized
P37325					destabilized
P37344			destabilized		
P37624			stabilized		stabilized
P37637			stabilized		
P37650					stabilized
P37657			stabilized		
P37676			stabilized		
P37757					stabilized
P37773			stabilized		stabilized
P37903					stabilized
P38521			stabilized		destabilized
P39160					destabilized
P39161					stabilized
P39298					stabilized
P39310			destabilized		
P39325					destabilized
P39342			destabilized		
P39384			destabilized		
P39407			stabilized		
P39838			destabilized		stabilized
P40191			destabilized		
P40719			destabilized		
P40874					stabilized
P42616			stabilized		
P42641			stabilized		
P43329					stabilized
P43341					stabilized
P45395			stabilized		
P45425					stabilized
P45537			stabilized		
P45748			destabilized		
P45771			destabilized		
P45799			destabilized		
P45807					destabilized
P45955			destabilized		stabilized
P46125			destabilized		
P46474			destabilized		
P46853			destabilized		
P46888			stabilized		
P50456					stabilized
P50457			stabilized		
P51024			stabilized		
P51025			stabilized		
P52076					stabilized
P52108					stabilized
P52645			stabilized		
P56258					stabilized
P60390					stabilized
P60438					destabilized
P60566			destabilized		
P60651					stabilized
P60716			stabilized		
P60723			destabilized		destabilized
P60757					stabilized
P60778			stabilized		
P60872					destabilized
P61175					destabilized
P61949			destabilized		destabilized
P62707					stabilized
P62723					stabilized
P63020			destabilized		
P63228			stabilized		
P63235					destabilized
P63417			destabilized		
P64448			destabilized		stabilized
P64451			destabilized		stabilized
P64455					destabilized
P64461					stabilized
P64463			destabilized		stabilized
P64467			destabilized		
P64476			destabilized		
P64483			destabilized		
P64490			destabilized		
P64499			destabilized		stabilized
P64534			destabilized		
P64540			stabilized		
P64564			stabilized		
P64581			stabilized		stabilized
P64588			destabilized		stabilized
P64604			destabilized		
P65292			destabilized		
P65556					destabilized
P66817					stabilized
P67080					destabilized
P67244			stabilized		
P68191			destabilized		
P68567					stabilized
P68646			destabilized		
P68679					stabilized
P68688			destabilized		stabilized
P68699					stabilized
P68767			destabilized		destabilized
P69228					stabilized
P69330			destabilized		destabilized
P69346			destabilized		
P69380			stabilized		
P69425			destabilized		
P69428			destabilized		
P69451			stabilized		
P69506			destabilized		
P69739			destabilized		
P69741					stabilized
P69786					stabilized
P69801					destabilized
P69811					stabilized
P69874			destabilized		
P69908			destabilized		
P69910			destabilized		destabilized
P69922					stabilized
P69931					stabilized
P75691			stabilized		stabilized
P75694			destabilized		stabilized
P75728					stabilized
P75818			destabilized		
P75823			destabilized		
P75825					stabilized
P75882			stabilized		
P75883			destabilized		
P75884					stabilized
P75913					stabilized
P75914					stabilized
P75949					stabilized
P75958					destabilized
P75959					stabilized
P75960			stabilized		
P75989					stabilized
P76002					stabilized
P76004					stabilized
P76014			destabilized		
P76027			destabilized		
P76116					stabilized
P76141					destabilized
P76170			destabilized		
P76193			destabilized		destabilized
P76220					stabilized
P76231			destabilized		
P76256					stabilized
P76272					stabilized
P76406			destabilized		
P76418			stabilized		
P76445			destabilized		
P76539			stabilized		
P76558					destabilized
P76561			destabilized		
P76569			destabilized		stabilized
P76575					stabilized
P76576			destabilized		
P77150					destabilized
P77182					stabilized
P77252			destabilized		stabilized
P77330			destabilized		destabilized
P77335			stabilized		
P77348			destabilized		stabilized
P77374					destabilized
P77375			destabilized		
P77444			destabilized		
P77475			stabilized		
P77488			destabilized		
P77499					destabilized
P77539					stabilized
P77549					stabilized
P77554			destabilized		
P77569			destabilized		
P77667			stabilized		
P77695					destabilized
P77731					stabilized
P77737			destabilized		destabilized
P77754			stabilized		
P77783			destabilized		
P77791					stabilized
P78067			destabilized		
Q2M7R5			destabilized		stabilized
Q46799					stabilized
Q46803					stabilized
Q46808					stabilized
Q46814			destabilized		
Q46845					stabilized
Q46920			destabilized		stabilized
Q47622					destabilized
Q47679					destabilized
Q59385					destabilized
