"Ion_index","Ion_mz","Min_detected_charge","Max_detected_charge","TIC_correlation","Median_ion_intensity","Mean_ion_intensity","CV_ion_intensity","Fraction_ion_detected","First_metabolite_name_HMDB","First_HMDB_ID","First_KEGG_ID","First_pubchem_ID","Number_of_annotations","Ion_is_isotopologue","Applied_drift_correction_method","Fraction_detected_in_all_replicates","Median_interreplicate_CV"
33,72.9937731236042,0,0,0.410116885474256,1776730.16169608,2219216.70838724,0.780914579155547,76.2463343108504,"Glyoxylic acid","HMDB0000119","cpd:C00048","760",5,0,"data inadequate for drift correction",59.6153846153846,0.100512084443366
34,73.0094663575013,0,0,0.34804872887759,29557213.3459588,25611019.9305204,0.368661737198584,85.6304985337243,"Indole-5,6-quinone","HMDB0006779","cpd:C05579","440728",3,0,"data inadequate for drift correction",77.6923076923077,0.0659921140438353
35,73.0187807742965,-1,-1,0.102116650592477,1,445777.795079975,0.504050471270909,22.2873900293255,"","","","",0,1,"data inadequate for drift correction",2.69230769230769,0
36,73.0283488681984,0,0,0.254248871836062,44752382.6919671,1181233555.35019,3.36574889805307,82.4046920821114,"Indole-3-carbinol","HMDB0005785","","3712",2,0,"data inadequate for drift correction",77.3076923076923,0.099634779069329
37,73.030048235138,0,-2,0.354917366033,25567560091.266,18166747831.8895,0.356013201047874,81.524926686217,"Mevalonic acid","HMDB0000227","cpd:C00418","449",16,0,"data inadequate for drift correction",70,0.00868935003308812
38,73.0341538741299,0,-2,0.206288794319686,1,254336.611902466,0.727551818083641,0,"4-Methyl-4-(methylthio)-2-pentanone","HMDB0037621","","4682590",2,0,"data inadequate for drift correction",0,0
39,73.04130507493,0,0,0.0776618156558405,1,375299.341626037,0.460554966827587,0,"N-Nitrosodimethylamine","HMDB0031419","cpd:C14704","6124",3,0,"data inadequate for drift correction",0,0
40,73.0505299817227,0,0,0.31285002539797,29124922.8563507,22322353.4867539,0.356843031353209,76.8328445747801,"","","","",0,0,"data inadequate for drift correction",58.4615384615385,0.0240319890469617
41,73.979096556847,0,0,0.36004263243237,956155.807641664,1812458.40799264,0.887278033738408,69.5014662756598,"","","","",0,0,"data inadequate for drift correction",40,0
42,74.0250482476208,-1,-1,0.323779990208285,690791174.71036,689696065.818538,0.331588288186879,92.375366568915,"Glycine","HMDB0000123","cpd:C00037","750",3,1,"data inadequate for drift correction",99.6153846153846,0.0320200026769145
