organism	protein_id	gene_name	is_hit	n_hits	list_hits
Csaccha	D9QZP2	RPLO	FALSE	0	""
Csaccha	D9QZP3	RPMD	FALSE	0	""
Csaccha	D9QZP4	RPSE	FALSE	0	""
Csaccha	D9QZP5	RPLR	FALSE	0	""
Csaccha	D9QZP6	RPLF	FALSE	0	""
Csaccha	D9QZP7	RPSH	FALSE	0	""
Csaccha	D9QZP8	RPSZ	FALSE	0	""
Csaccha	D9QZP9	RPLE	FALSE	0	""
Csaccha	D9QZQ0	RPLX	FALSE	0	""
Csaccha	D9QZQ1	RPLN	FALSE	0	""
Csaccha	D9QZQ2	RPSQ	FALSE	0	""
Csaccha	D9QZQ3	RPMC	FALSE	0	""
Csaccha	D9QZQ4	RPLP	FALSE	0	""
Csaccha	D9QZQ5	RPSC	FALSE	0	""
Csaccha	D9QZQ6	RPLV	FALSE	0	""
Csaccha	D9QZQ7	RPSS	FALSE	0	""
Csaccha	D9QZQ8	RPLB	FALSE	0	""
Csaccha	D9QZQ9	RPLW	FALSE	0	""
Csaccha	D9QZR0	RPLD	FALSE	0	""
Csaccha	D9QZR1	RPLC	FALSE	0	""
Csaccha	D9QZR2	RPSJ	FALSE	0	""
Csaccha	D9QZR3	CLOSA_3769	FALSE	0	""
Csaccha	D9QZR4	CLOSA_3770	FALSE	0	""
Csaccha	D9QZR9	CLOSA_3775	FALSE	0	""
Csaccha	D9QZS0|D9R870|D9RAT4	MURQ	FALSE	0	""
Csaccha	D9QZS1	CLOSA_3777	FALSE	0	""
Csaccha	D9QZS2	CLOSA_3778	FALSE	0	""
Csaccha	D9QZS4	TUF	FALSE	0	""
Csaccha	D9QZS5	FUSA	FALSE	0	""
Csaccha	D9QZS6	RPSG	FALSE	0	""
Csaccha	D9QZS7	RPSL	FALSE	0	""
Csaccha	D9QZS8	RPOC	FALSE	0	""
Csaccha	D9QZS9	RPOB	FALSE	0	""
Csaccha	D9QZT0	CLOSA_3786	FALSE	0	""
Csaccha	D9QZT1	CLOSA_3787	FALSE	0	""
Csaccha	D9QZT2	CLOSA_3788	FALSE	0	""
Csaccha	D9QZT3	CLOSA_3789	FALSE	0	""
Csaccha	D9QZT4	CLOSA_3790	FALSE	0	""
Csaccha	D9QZT5	CLOSA_3791	FALSE	0	""
Csaccha	D9QZT6	CLOSA_3792	FALSE	0	""
Csaccha	D9QZT9	CLOSA_3795	FALSE	0	""
Csaccha	D9QZU0	CLOSA_3796	FALSE	0	""
Csaccha	D9QZU1	CLOSA_3797	FALSE	0	""
Csaccha	D9QZU2	CLOSA_3798	FALSE	0	""
Csaccha	D9QZU3	CLOSA_3799	FALSE	0	""
Csaccha	D9QZU5	DNAA	FALSE	0	""
Csaccha	D9QZU6	CLOSA_0002	FALSE	0	""
Csaccha	D9QZU7	CLOSA_0003	FALSE	0	""
Csaccha	D9QZU8	RECF	FALSE	0	""
Csaccha	D9QZU9	GYRB	FALSE	0	""
Csaccha	D9QZV0	GYRA	FALSE	0	""
Csaccha	D9QZV2	CLOSA_0008	FALSE	0	""
Csaccha	D9QZV5	CLOSA_0011	FALSE	0	""
Csaccha	D9QZV7	CLOSA_0013	FALSE	0	""
Csaccha	D9QZV8	CLOSA_0014	FALSE	0	""
Csaccha	D9QZV9	CLOSA_0015	FALSE	0	""
Csaccha	D9QZW0	CLOSA_0016	FALSE	0	""
Csaccha	D9QZW1	CLOSA_0017	FALSE	0	""
Csaccha	D9QZW2	CLOSA_0018	FALSE	0	""
Csaccha	D9QZW3	CLOSA_0019	FALSE	0	""
Csaccha	D9QZW4	CLOSA_1832	FALSE	0	""
Csaccha	D9QZW6	CLOSA_1834	FALSE	0	""
Csaccha	D9QZW9	CLOSA_1837	FALSE	0	""
Csaccha	D9QZX6	TOPA	FALSE	0	""
Csaccha	D9QZX7	CODY	FALSE	0	""
Csaccha	D9QZX8	RPSB	FALSE	0	""
Csaccha	D9QZX9	TSF	FALSE	0	""
Csaccha	D9QZY0	CLOSA_1848	FALSE	0	""
Csaccha	D9QZY1	CLOSA_1849	FALSE	0	""
