annotation	ec
TIGR01966	2.7.7.56
TIGR01967	3.6.4.13
TIGR01970	3.6.4.-
TIGR01973	1.6.99.5
TIGR01974	1.6.-.-
TIGR01975	3.4.19.5
TIGR01982	1.14.13.-
TIGR01983	2.1.1.64
TIGR01984	1.14.13.-
TIGR01986	6.3.2.3
TIGR01988	1.14.13.-
TIGR01989	1.14.13.-
TIGR01990	5.4.2.6
TIGR01992	2.7.1.69
TIGR01993	3.1.3.5
TIGR01995	2.7.1.69
TIGR01996	2.7.1.69
TIGR01998	2.7.1.69
TIGR02002	2.7.1.69
TIGR02003	2.7.1.69
TIGR02004	2.7.1.69
TIGR02005	2.7.1.69
TIGR02006	2.8.1.7
TIGR02013	2.7.7.6
TIGR02014	1.18.-.-
TIGR02015	1.18.1.-
TIGR02017	3.5.1.68
TIGR02020	4.2.1.-
TIGR02021	2.1.1.11
TIGR02022	3.5.3.13
TIGR02023	1.3.1.-
TIGR02024	2.1.2.5
TIGR02025	6.6.1.1
TIGR02027	2.7.7.6
TIGR02029	1.14.13.81
TIGR02030	6.6.1.1
TIGR02031	6.6.1.1
TIGR02032	1.3.1.-
TIGR02033	3.5.2.2
TIGR02034	2.7.7.4
TIGR02035	4.3.1.18
TIGR02037	3.4.21.-
TIGR02038	3.4.21.-
TIGR02039	2.7.7.4
TIGR02041	1.8.1.2
TIGR02042	1.8.7.1
TIGR02045	2.7.1.146
TIGR02048	6.3.2.2
TIGR02049	6.3.2.2
TIGR02050	6.3.-.-
TIGR02053	1.16.1.1
TIGR02055	1.8.4.10
TIGR02056	2.5.1.62
TIGR02057	1.8.4.8
TIGR02060	1.8.99.2
TIGR02061	1.8.99.2
TIGR02062	3.1.13.1
TIGR02063	3.1.-.-
TIGR02064	1.8.99.3
TIGR02065	3.1.13.-
TIGR02066	1.8.99.3
TIGR02067	3.1.3.15
TIGR02068	6.3.2.29
TIGR02068	6.3.2.30
TIGR02069	3.4.15.6
TIGR02070	2.4.2.-
TIGR02072	2.1.1.-
TIGR02075	2.7.4.22
TIGR02076	2.7.4.-
TIGR02078	2.7.2.4
TIGR02079	4.3.1.19
TIGR02080	2.5.1.48
TIGR02082	2.1.1.13
TIGR02083	4.2.1.33
TIGR02084	4.2.1.33
TIGR02085	2.1.1.189
TIGR02089	1.1.1.93
TIGR02091	2.7.7.27
TIGR02092	2.7.7.27
TIGR02093	2.4.1.1
TIGR02094	2.4.1.1
TIGR02095	2.4.1.21
TIGR02100	3.2.1.-
TIGR02103	3.2.1.41
TIGR02104	3.2.1.41
TIGR02110	3.4.24.-
TIGR02111	1.3.3.11
TIGR02113	4.1.1.36
TIGR02114	6.3.2.5
TIGR02115	3.6.3.12
TIGR02127	4.1.1.23
TIGR02128	5.3.1.9
TIGR02129	5.3.1.16
TIGR02130	1.17.1.8
TIGR02133	5.3.1.6
TIGR02134	2.2.1.2
TIGR02137	3.1.3.3
TIGR02142	3.6.3.29
TIGR02143	2.1.1.35
TIGR02146	2.3.3.14
TIGR02150	5.3.3.2
TIGR02151	5.3.3.2
TIGR02152	2.7.1.15
TIGR02153	6.3.5.-
TIGR02155	6.2.1.30
TIGR02164	1.7.2.3
TIGR02170	2.1.1.148
TIGR02173	2.7.4.14
TIGR02176	1.2.7.1
TIGR02188	6.2.1.1
TIGR02191	3.1.26.3
TIGR02193	2.4.-.-
TIGR02195	2.4.-.-
TIGR02197	5.1.3.20
TIGR02198	2.7.1.-
TIGR02199	2.7.7.-
TIGR02201	2.4.1.-
TIGR02207	2.3.1.-
TIGR02208	2.3.1.-
TIGR02211	3.6.3.-
TIGR02227	3.4.21.89
TIGR02228	3.4.21.89
TIGR02230	3.6.3.-
TIGR02235	2.5.1.-
TIGR02240	3.1.1.-
TIGR02250	3.1.3.16
TIGR02254	3.1.3.5
TIGR02257	6.6.1.2
TIGR02258	6.5.1.-
TIGR02259	1.3.7.8
TIGR02260	1.3.7.8
TIGR02261	1.3.7.8
TIGR02263	1.3.7.8
TIGR02272	1.13.11.4
TIGR02274	3.5.4.13
TIGR02275	2.7.7.58
TIGR02279	1.1.1.-
TIGR02280	4.2.1.17
TIGR02281	3.4.23.-
TIGR02282	2.4.-.-
TIGR02283	2.4.-.-
TIGR02289	3.4.24.-
TIGR02290	3.4.24.-
TIGR02295	1.13.11.15
TIGR02296	1.14.14.9
TIGR02298	1.13.11.15
TIGR02299	1.2.1.60
TIGR02303	4.1.1.68
TIGR02303	5.3.3.10
TIGR02305	4.1.1.68
TIGR02305	5.3.3.10
TIGR02306	6.5.1.3
TIGR02307	6.5.1.3
TIGR02308	6.5.1.3
TIGR02309	1.14.14.9
TIGR02310	1.14.14.9
TIGR02311	4.1.2.-
TIGR02312	4.2.-.-
TIGR02313	4.1.2.-
TIGR02314	3.6.3.-
TIGR02315	3.6.3.28
TIGR02316	6.2.1.17
TIGR02317	4.1.3.30
TIGR02319	2.7.8.23
TIGR02320	5.4.2.9
TIGR02321	3.11.1.3
TIGR02326	2.6.1.37
TIGR02330	4.2.1.79
TIGR02333	4.2.1.99
TIGR02335	3.11.1.2
TIGR02336	2.4.1.211
TIGR02352	1.4.3.19
TIGR02356	2.7.7.73
TIGR02360	1.14.13.2
TIGR02361	2.7.1.29
TIGR02363	2.7.1.-
TIGR02365	2.7.-.-
TIGR02367	6.1.1.26
TIGR02368	2.1.1.249
TIGR02369	2.1.1.250
TIGR02371	1.4.1.1
TIGR02372	6.2.1.12
TIGR02374	1.7.1.4
TIGR02376	1.7.2.1
TIGR02378	1.7.1.4
TIGR02380	2.7.8.33
TIGR02386	2.7.7.6
TIGR02387	2.7.7.6
TIGR02388	2.7.7.6
TIGR02389	2.7.7.6
TIGR02390	2.7.7.6
TIGR02397	2.7.7.7
TIGR02398	2.4.1.213
TIGR02399	3.1.3.69
TIGR02400	2.4.1.15
TIGR02401	5.4.99.15
TIGR02402	3.2.1.141
TIGR02403	3.2.1.93
TIGR02406	2.3.1.178
TIGR02407	2.6.1.76
TIGR02408	1.-.-.-
TIGR02409	1.14.11.1
TIGR02410	1.14.11.8
TIGR02411	3.3.2.6
TIGR02411	3.4.11.-
TIGR02412	3.4.11.2
TIGR02414	3.4.11.2
TIGR02415	1.1.1.-
TIGR02416	1.2.99.2
TIGR02418	2.2.1.6
TIGR02422	1.13.11.3
TIGR02423	1.13.11.3
TIGR02425	4.1.1.44
TIGR02426	5.5.1.2
TIGR02427	3.1.1.24
TIGR02428	2.8.3.-
TIGR02429	2.8.3.-
TIGR02430	2.3.1.174
TIGR02432	6.3.4.-
TIGR02433	6.-.-.-
TIGR02434	2.1.1.152
TIGR02435	1.14.13.83
TIGR02437	4.2.1.17
TIGR02437	5.3.3.8
TIGR02437	1.1.1.35
TIGR02437	5.1.2.3
TIGR02438	1.13.11.1
TIGR02439	1.13.11.1
TIGR02440	4.2.1.17
TIGR02440	1.1.1.35
TIGR02440	5.1.2.3
TIGR02441	4.2.1.17
TIGR02441	1.1.1.35
TIGR02442	6.6.1.2
TIGR02445	2.3.1.16
TIGR02446	2.3.1.16
TIGR02455	5.4.99.16
TIGR02456	5.4.99.16
TIGR02460	2.4.1.217
TIGR02461	3.1.3.70
TIGR02462	1.1.3.10
TIGR02463	3.1.3.-
TIGR02467	2.1.1.132
TIGR02468	2.4.1.14
TIGR02469	2.1.1.132
TIGR02470	2.4.1.13
TIGR02472	2.4.1.14
TIGR02474	4.2.2.2
TIGR02476	1.14.99.40
TIGR02477	2.7.1.90
TIGR02478	2.7.1.11
TIGR02482	2.7.1.11
TIGR02486	1.97.1.-
TIGR02487	1.17.4.2
TIGR02491	1.97.1.-
TIGR02493	1.97.1.4
TIGR02494	1.97.1.-
TIGR02495	1.97.-.-
TIGR02504	1.17.4.1
TIGR02505	1.17.4.2
TIGR02506	1.17.4.1
TIGR02507	2.1.1.86
TIGR02510	1.17.4.1
TIGR02512	1.12.-.-
TIGR02518	1.2.1.10
TIGR02534	5.5.1.-
TIGR02539	2.5.1.73
TIGR02540	1.11.1.9
TIGR02546	3.6.3.14
TIGR02563	3.1.-.-
TIGR02602	3.4.22.-
TIGR02617	4.1.99.1
TIGR02618	4.1.99.2
TIGR02621	3.6.4.-
TIGR02622	4.2.1.45
TIGR02623	2.7.7.33
TIGR02624	4.1.2.19
TIGR02625	5.1.3.-
TIGR02627	2.7.1.5
TIGR02628	2.7.1.51
TIGR02629	5.3.1.-
TIGR02630	5.3.1.5
TIGR02631	5.3.1.5
TIGR02632	4.1.2.19
TIGR02632	1.1.1.1
TIGR02633	3.6.3.17
TIGR02635	5.3.1.14
TIGR02636	5.1.3.3
TIGR02638	1.1.1.77
TIGR02643	2.4.2.4
TIGR02644	2.4.2.2
TIGR02645	2.4.2.4
TIGR02649	3.1.-.-
TIGR02650	3.1.26.11
TIGR02651	3.1.26.11
TIGR02655	2.7.11.1
TIGR02658	1.4.9.1
TIGR02659	1.4.9.1
TIGR02660	2.3.3.14
TIGR02662	3.2.2.24
TIGR02665	2.7.7.77
TIGR02685	1.5.1.33
TIGR02689	1.20.4.1
TIGR02691	1.20.4.-
TIGR02691	3.1.3.48
TIGR02692	2.7.7.72
TIGR02693	1.20.9.1
TIGR02694	1.20.9.1
TIGR02696	2.7.-.-
TIGR02696	2.7.7.8
TIGR02701	4.2.1.1
TIGR02705	3.6.1.-
TIGR02706	2.3.1.19
TIGR02707	2.7.2.7
TIGR02708	1.1.3.-
TIGR02709	2.3.1.-
TIGR02712	6.3.4.6
TIGR02713	3.5.1.54
TIGR02714	3.5.2.-
TIGR02715	3.-.-.-
TIGR02716	2.1.1.-
TIGR02717	6.2.1.13
TIGR02720	1.2.3.3
TIGR02721	2.7.1.89
TIGR02723	4.1.1.-
TIGR02727	6.3.3.2
TIGR02730	5.-.-.-
TIGR02731	1.14.99.-
TIGR02732	1.3.5.6
TIGR02733	1.3.99.-
TIGR02734	1.14.99.-
TIGR02735	6.3.2.6
TIGR02736	1.9.3.1
TIGR02748	2.5.1.30
TIGR02749	2.5.1.-
TIGR02751	4.1.1.31
TIGR02752	2.1.1.163
TIGR02753	1.15.1.1
TIGR02754	3.4.21.-
TIGR02755	2.3.1.-
TIGR02760	3.6.4.12
TIGR02769	3.6.3.24
TIGR02773	3.1.-.-
TIGR02773	3.6.4.12
TIGR02779	6.5.1.1
TIGR02785	3.1.-.-
TIGR02785	3.6.4.12
TIGR02789	3.6.3.24
TIGR02790	3.6.3.24
TIGR02792	1.13.11.8
TIGR02798	4.1.-.-
TIGR02798	4.1.1.3
TIGR02799	3.1.2.-
TIGR02806	3.4.22.8
TIGR02810	4.1.2.40
TIGR02818	1.1.1.284
TIGR02818	1.1.1.1
TIGR02819	1.2.1.46
TIGR02820	4.4.1.22
TIGR02821	3.1.2.12
TIGR02822	1.-.-.-
TIGR02825	1.3.1.74
TIGR02825	1.3.1.48
TIGR02826	1.97.1.-
TIGR02827	1.17.4.2
TIGR02842	1.10.3.-
TIGR02843	1.10.3.-
TIGR02847	1.10.3.-
TIGR02854	3.4.23.-
TIGR02860	3.4.21.116
TIGR02865	3.1.3.16
TIGR02866	1.9.3.1
TIGR02882	1.10.3.-
TIGR02883	3.5.1.28
TIGR02884	3.5.-.-
TIGR02891	1.9.3.1
TIGR02897	1.10.3.-
TIGR02901	1.10.3.-
TIGR02902	3.4.21.-
TIGR02903	3.4.21.-
TIGR02908	1.9.3.1
TIGR02910	1.8.-.-
TIGR02911	1.8.-.-
TIGR02912	1.8.-.-
TIGR02916	2.7.13.3
TIGR02918	2.4.1.-
TIGR02919	2.4.1.-
TIGR02923	3.6.3.14
TIGR02924	1.1.1.-
TIGR02925	5.2.1.8
TIGR02926	3.6.3.14
TIGR02927	2.3.1.61
TIGR02929	1.18.6.1
TIGR02930	1.18.6.1
TIGR02931	1.18.6.1
TIGR02932	1.18.6.1
TIGR02946	2.3.1.-
TIGR02956	2.7.13.3
TIGR02961	3.5.3.4
TIGR02962	3.5.2.17
TIGR02963	1.17.1.4
TIGR02965	1.17.1.4
TIGR02966	2.7.3.-
TIGR02967	3.5.4.3
TIGR02969	1.2.3.1
TIGR02981	2.8.1.1
TIGR02986	3.1.21.4
TIGR02987	2.1.1.72
TIGR02993	3.-.-.-
TIGR03011	2.8.-.-
TIGR03018	2.7.10.2
TIGR03022	2.7.8.6
TIGR03023	2.7.8.-
TIGR03030	2.4.1.12
TIGR03031	3.1.-.-
TIGR03035	3.5.1.9
TIGR03036	1.13.11.11
TIGR03037	1.13.11.6
TIGR03048	1.97.1.12
TIGR03064	3.4.22.71
TIGR03074	1.1.-.-
TIGR03075	1.1.2.-
TIGR03078	1.14.13.25
TIGR03079	1.14.13.25
TIGR03080	1.14.13.25
TIGR03081	5.1.99.1
TIGR03105	6.3.1.2
TIGR03107	3.4.11.7
TIGR03109	3.4.22.-
TIGR03119	2.3.1.101
TIGR03120	3.5.4.27
TIGR03121	1.2.99.5
TIGR03122	1.2.99.5
TIGR03124	2.7.7.61
TIGR03125	2.4.2.52
TIGR03127	5.3.-.-
TIGR03128	4.1.2.43
TIGR03129	1.2.99.5
TIGR03132	2.4.2.52
TIGR03133	4.1.1.88
TIGR03134	4.1.1.88
TIGR03135	2.7.7.66
TIGR03137	1.11.1.15
TIGR03138	1.7.1.13
TIGR03139	1.7.1.13
TIGR03140	1.8.1.-
TIGR03143	1.6.4.-
TIGR03146	1.7.2.2
TIGR03148	1.7.2.2
TIGR03149	1.7.2.2
TIGR03150	2.3.1.179
TIGR03151	1.3.1.-
TIGR03152	1.7.2.2
TIGR03153	1.7.2.2
TIGR03160	2.4.2.21
TIGR03161	3.1.3.73
TIGR03162	3.1.3.73
TIGR03164	4.1.1.-
TIGR03165	3.6.3.-
TIGR03166	3.6.3.-
TIGR03167	2.9.1.-
TIGR03168	2.7.1.-
TIGR03175	1.1.1.154
TIGR03176	3.5.3.9
TIGR03178	3.5.2.5
TIGR03180	4.1.1.-
TIGR03181	1.2.4.1
TIGR03182	1.2.4.1
TIGR03188	3.6.1.31
TIGR03189	4.2.1.100
TIGR03190	1.3.7.8
TIGR03191	1.3.7.8
TIGR03192	1.3.7.8
TIGR03193	1.3.7.9
TIGR03194	1.3.7.9
TIGR03195	1.3.7.9
TIGR03196	1.17.1.4
TIGR03198	1.17.1.4
TIGR03199	1.17.1.4
TIGR03200	3.-.-.-
TIGR03201	1.1.1.-
TIGR03203	1.3.1.62
TIGR03204	1.3.1.62
TIGR03205	6.2.1.23
TIGR03206	1.1.1.-
TIGR03207	1.1.1.-
TIGR03208	6.2.1.-
TIGR03210	3.7.-.-
TIGR03211	1.13.11.2
TIGR03213	1.13.11.39
TIGR03215	1.2.1.10
TIGR03216	1.2.1.-
TIGR03217	4.1.3.39
TIGR03218	4.1.1.77
TIGR03219	1.14.13.1
TIGR03220	4.2.-.-
TIGR03221	5.3.3.4
TIGR03222	4.1.2.44
TIGR03224	1.14.12.21
TIGR03225	1.14.12.21
TIGR03228	1.14.12.1
TIGR03229	1.14.12.10
TIGR03230	3.1.1.34
TIGR03231	1.14.12.1
TIGR03232	1.14.12.10
TIGR03234	5.3.1.22
TIGR03235	2.8.1.7
TIGR03239	4.1.2.20
TIGR03240	1.2.1.71
TIGR03241	3.5.3.23
TIGR03242	3.5.1.96
TIGR03243	2.3.1.-
TIGR03244	2.3.1.109
TIGR03245	2.3.1.109
TIGR03246	2.6.1.81
TIGR03247	4.2.1.40
TIGR03248	4.2.1.42
TIGR03249	4.2.1.41
TIGR03250	1.2.1.-
TIGR03251	2.6.1.36
TIGR03253	2.8.3.16
TIGR03254	4.1.1.8
TIGR03256	2.8.4.1
TIGR03257	2.8.4.1
TIGR03259	2.8.4.1
TIGR03263	2.7.4.8
TIGR03283	2.1.1.-
TIGR03284	2.1.1.45
TIGR03288	1.8.98.1
TIGR03289	1.12.98.1
TIGR03290	1.8.98.1
TIGR03294	1.12.98.1
TIGR03295	1.12.98.1
TIGR03296	3.4.24.-
TIGR03297	4.1.1.82
TIGR03301	2.6.1.-
TIGR03305	3.6.3.-
TIGR03306	3.6.3.-
TIGR03310	2.7.7.76
TIGR03311	1.17.1.4
TIGR03316	2.1.3.-
TIGR03319	3.1.-.-
TIGR03321	3.6.3.-
TIGR03322	3.6.3.-
TIGR03323	3.6.3.-
TIGR03324	3.6.3.-
TIGR03325	1.3.1.56
TIGR03326	4.1.1.39
TIGR03327	2.4.-.-
TIGR03328	4.2.-.-
TIGR03330	4.1.1.50
TIGR03331	4.1.1.50
TIGR03332	5.3.2.-
TIGR03333	3.1.3.-
TIGR03334	1.2.7.8
TIGR03335	2.7.7.-
TIGR03336	1.2.7.8
TIGR03343	3.7.1.-
TIGR03372	2.6.1.82
TIGR03374	1.2.1.19
TIGR03376	1.1.1.8
TIGR03377	1.1.5.3
TIGR03378	1.1.5.3
TIGR03379	1.1.5.3
TIGR03380	3.5.3.12
TIGR03381	3.5.1.53
TIGR03383	1.7.3.3
TIGR03385	1.8.1.14
TIGR03388	1.10.3.3
TIGR03389	1.10.3.2
TIGR03390	1.10.3.3
TIGR03391	2.8.1.7
TIGR03392	2.8.1.7
TIGR03393	4.1.1.74
TIGR03394	4.1.1.74
TIGR03394	4.1.1.43
TIGR03395	3.1.4.12
TIGR03396	3.1.4.3
TIGR03397	3.1.-.-
TIGR03399	6.5.1.4
TIGR03401	4.2.1.-
TIGR03402	2.8.1.7
TIGR03403	2.8.1.7
TIGR03413	3.1.2.6
TIGR03417	3.1.6.6
TIGR03429	2.5.-.-
TIGR03430	2.5.1.34
TIGR03438	2.1.1.44
TIGR03439	2.1.1.-
TIGR03443	1.2.1.31
TIGR03444	6.3.2.2
TIGR03445	3.5.1.103
TIGR03447	6.3.1.13
TIGR03448	2.3.1.189
TIGR03449	2.4.1.250
TIGR03450	5.5.1.-
TIGR03451	1.1.1.306
TIGR03452	1.8.1.15
TIGR03455	2.4.2.17
TIGR03457	2.3.3.15
TIGR03458	2.8.3.-
TIGR03461	4.1.3.38
TIGR03463	5.4.99.8
TIGR03464	2.4.1.21
TIGR03465	2.5.1.21
TIGR03494	5.4.4.2
TIGR03494	4.1.3.-
TIGR03496	3.6.3.14
TIGR03497	3.6.3.14
TIGR03498	3.6.3.14
TIGR03502	3.1.-.-
TIGR03528	4.3.1.15
TIGR03531	2.9.1.2
TIGR03532	2.3.1.89
TIGR03533	2.1.1.-
TIGR03534	2.1.1.-
TIGR03535	2.3.1.117
TIGR03536	2.3.1.117
TIGR03537	2.6.1.17
TIGR03538	2.6.1.17
TIGR03539	2.6.1.17
TIGR03540	2.6.1.83
TIGR03542	2.6.1.83
TIGR03547	5.1.-.-
TIGR03550	2.5.1.77
TIGR03551	2.5.1.77
TIGR03552	2.7.7.68
TIGR03554	1.1.98.2
TIGR03555	1.5.98.2
TIGR03556	4.1.99.3
TIGR03557	1.-.-.-
TIGR03558	1.-.-.-
TIGR03564	1.-.-.-
TIGR03565	1.14.14.5
TIGR03566	1.5.1.-
TIGR03567	1.5.1.38
TIGR03568	5.1.3.-
TIGR03568	3.1.4.-
TIGR03569	2.5.1.56
TIGR03571	1.-.-.-
TIGR03573	6.3.4.-
TIGR03574	2.7.1.164
TIGR03575	2.7.1.164
TIGR03584	2.7.7.81
TIGR03585	2.3.1.202
TIGR03586	2.5.1.97
TIGR03588	2.6.1.92
TIGR03589	4.2.1.115
TIGR03590	3.6.1.57
TIGR03591	2.7.7.8
TIGR03603	6.3.-.-
TIGR03609	2.-.-.-
TIGR03615	1.5.1.42
TIGR03617	1.-.-.-
TIGR03619	1.-.-.-
TIGR03633	3.4.25.1
TIGR03634	3.4.25.1
TIGR03639	3.1.-.-
TIGR03664	3.2.2.26
TIGR03666	1.-.-.-
TIGR03667	1.-.-.-
TIGR03670	2.7.7.6
TIGR03671	2.7.7.25
TIGR03671	2.7.7.21
TIGR03674	3.1.-.-
TIGR03683	6.1.1.7
TIGR03686	6.3.2.-
TIGR03688	6.3.2.-
TIGR03689	3.6.4.8
TIGR03690	3.4.25.1
TIGR03691	3.4.25.1
TIGR03692	3.4.25.2
TIGR03694	2.3.1.-
TIGR03695	4.2.99.20
TIGR03698	3.4.23.-
TIGR03702	2.7.1.-
TIGR03703	2.3.1.15
TIGR03704	2.1.1.-
TIGR03705	2.7.4.1
TIGR03706	3.6.1.11
TIGR03707	2.7.4.1
TIGR03708	2.7.4.-
TIGR03709	2.7.4.-
TIGR03724	2.7.-.-
TIGR03753	1.14.99.36
TIGR03762	3.4.22.-
TIGR03763	3.4.22.-
TIGR03799	4.1.1.-
TIGR03800	2.6.-.-
TIGR03801	4.1.1.12
TIGR03811	4.1.1.25
TIGR03812	4.1.1.25
TIGR03814	3.5.1.2
TIGR03820	5.4.3.2
TIGR03821	5.4.3.-
TIGR03822	5.4.3.-
TIGR03827	2.3.1.-
TIGR03828	2.7.1.56
TIGR03832	5.4.3.6
TIGR03838	6.1.1.-
TIGR03840	2.1.1.67
TIGR03841	1.-.-.-
TIGR03844	2.5.1.76
TIGR03845	4.1.1.79
TIGR03846	4.1.1.79
TIGR03848	5.4.2.-
TIGR03849	4.4.1.19
TIGR03852	2.4.1.7
TIGR03855	1.4.1.21
TIGR03858	1.-.-.-
TIGR03860	1.-.-.-
TIGR03867	3.4.21.-
TIGR03882	6.3.-.-
TIGR03885	1.-.-.-
TIGR03887	3.5.5.8
TIGR03888	4.2.1.84
TIGR03895	3.4.21.-
TIGR03900	3.4.21.-
TIGR03902	3.4.21.-
TIGR03907	1.-.-.-
TIGR03908	1.4.-.-
TIGR03912	6.1.1.26
TIGR03914	3.2.2.-
TIGR03921	3.4.21.-
TIGR03933	3.5.1.-
TIGR03935	3.4.24.74
TIGR03937	2.4.1.-
TIGR03938	3.5.1.-
TIGR03942	1.1.99.-
TIGR03946	1.14.-.-
TIGR03948	2.8.3.-
TIGR03950	1.-.-.-
TIGR03951	1.-.-.-
TIGR03952	3.4.24.-
TIGR03966	1.-.-.-
TIGR03970	1.-.-.-
TIGR03971	1.1.99.-
TIGR03989	1.1.99.36
TIGR03990	5.4.2.10
TIGR03991	2.7.7.23
TIGR03991	2.3.1.157
TIGR03992	2.7.7.23
TIGR03992	2.3.1.157
TIGR03994	1.3.99.22
TIGR03996	1.-.-.-
TIGR03997	1.-.-.-
TIGR03999	2.4.1.-
TIGR04000	3.-.-.-
TIGR04001	3.-.-.-
TIGR04003	1.97.-.-
TIGR04005	2.4.-.-
TIGR04006	2.-.-.-
TIGR04007	2.4.-.-
TIGR04008	2.3.1.-
TIGR04009	2.4.-.-
TIGR04011	6.3.2.-
TIGR04012	6.3.2.-
TIGR04015	2.4.-.-
TIGR04016	2.3.1.-
TIGR04017	2.4.-.-
TIGR04018	1.8.-.-
TIGR04020	1.-.-.-
TIGR04021	1.14.-.-
TIGR04022	1.-.-.-
TIGR04023	1.-.-.-
TIGR04024	1.14.-.-
TIGR04025	1.-.-.-
TIGR04026	1.-.-.-
TIGR04027	1.-.-.-
TIGR04036	1.-.-.-
TIGR04037	1.-.-.-
TIGR04041	1.97.1.-
TIGR04048	3.5.5.-
TIGR04055	1.3.99.-
TIGR04058	1.1.1.-
TIGR04059	4.1.99.5
TIGR04063	2.4.-.-
TIGR04070	4.1.99.14
TIGR04074	2.1.1.-
TIGR04096	2.-.-.-
TIGR04105	1.12.-.-
TIGR04109	1.14.99.3
TIGR04120	6.5.1.1
TIGR04121	3.6.4.-
TIGR04125	3.4.22.-
TIGR04130	5.1.3.-
TIGR04130	4.2.1.-
TIGR04132	6.3.2.-
TIGR04144	3.4.22.-
TIGR04146	2.5.1.41
TIGR04147	2.5.1.41
TIGR04151	3.4.22.-
TIGR04152	3.4.22.-
TIGR04154	2.4.1.-
TIGR04156	3.4.22.-
TIGR04157	2.4.1.-
TIGR04158	4.1.-.-
TIGR04162	3.4.22.-
TIGR04166	2.1.1.86
TIGR04170	1.17.4.1
TIGR04171	1.17.4.1
TIGR04175	3.4.22.-
TIGR04177	3.4.22.-
TIGR04191	1.-.-.-
TIGR04195	2.4.1.-
TIGR04199	3.4.22.-
TIGR04202	3.1.-.-
TIGR04217	2.7.8.-
TIGR04234	2.7.7.48
TIGR04239	3.4.21.105
TIGR04242	2.4.1.-
TIGR04243	3.5.1.-
TIGR04244	1.7.2.4
TIGR04246	1.7.2.4
TIGR04253	5.-.-.-
TIGR04265	2.7.8.-
TIGR04266	1.1.99.37
TIGR04274	3.2.2.15
TIGR04277	4.2.1.123
TIGR04282	2.-.-.-
TIGR04283	2.-.-.-
TIGR04284	1.2.1.-
TIGR04287	3.4.22.-
TIGR04290	2.1.1.-
TIGR04291	3.6.1.-
TIGR04301	4.1.1.17
TIGR04306	3.5.99.2
TIGR04315	1.-.-.-
TIGR04316	1.3.1.28
TIGR04318	4.1.1.-
TIGR04324	1.-.-.-
TIGR04325	2.1.1.-
TIGR04343	4.4.-.-
TIGR04348	2.4.1.-
TIGR04350	4.4.-.-
TIGR04368	5.4.3.9
TIGR04371	2.1.1.-
TIGR04377	3.7.1.-
TIGR04378	5.3.1.-
TIGR04379	4.2.1.44
TIGR04380	1.1.1.18
TIGR04382	2.7.1.92
TIGR04384	2.1.3.6
TIGR04394	4.3.99.4
TIGR04395	1.97.-.-
TIGR04400	3.1.3.-
TIGR04414	2.4.1.-
TIGR04416	2.7.7.49
TIGR04425	4.2.3.-
TIGR04427	2.-.-.-
TIGR04428	2.1.1.106
TIGR04431	2.3.1.82
TIGR04432	2.1.1.224
TIGR04436	1.-.-.-
TIGR04437	2.4.1.-
TIGR04439	1.14.13.-
TIGR04440	2.-.-.-
TIGR04443	6.3.2.32
TIGR04444	4.1.3.-
TIGR04445	2.5.1.-
TIGR04448	3.5.2.10
TIGR04458	1.-.-.-
TIGR04461	2.-.-.-
TIGR04462	2.-.-.-
TIGR04465	1.-.-.-
TIGR04466	4.1.-.-
TIGR04467	2.4.1.-
TIGR04468	5.4.3.-
TIGR04473	5.4.3.10
TIGR04475	5.4.3.11
TIGR04476	3.4.22.-
TIGR04479	2.1.-.-
TIGR04480	1.21.4.1
TIGR04483	1.21.4.1
TIGR04489	3.4.22.-
TIGR04504	1.1.99.-
TIGR04506	2.2.1.8
TIGR04507	2.5.1.63
TIGR04508	4.3.99.3
TIGR04516	2.4.1.-
TIGR04520	3.6.3.-
TIGR04521	3.6.3.-
TIGR04531	1.14.-.-
TIGR04541	2.5.1.2
TIGR04542	1.-.-.-
TIGR04543	2.1.1.243
TIGR04544	2.6.-.-
TIGR04545	1.3.99.-
TIGR04555	1.8.2.1
TIGR04559	3.-.-.-
TIGR04567	2.7.7.6
TIGR04571	2.1.1.-
