annotation	ec
TIGR00422	6.1.1.9
TIGR00425	5.4.99.-
TIGR00430	2.4.2.29
TIGR00431	5.4.99.25
TIGR00432	2.4.2.48
TIGR00433	2.8.1.6
TIGR00434	1.8.4.8
TIGR00435	6.1.1.16
TIGR00438	2.1.1.166
TIGR00440	6.1.1.18
TIGR00441	5.3.1.28
TIGR00442	6.1.1.21
TIGR00445	2.7.8.13
TIGR00446	2.1.1.-
TIGR00447	3.1.1.29
TIGR00448	2.7.7.6
TIGR00449	2.4.2.-
TIGR00450	3.6.-.-
TIGR00452	2.1.1.-
TIGR00453	2.7.7.60
TIGR00455	2.7.1.25
TIGR00456	6.1.1.19
TIGR00457	6.1.1.22
TIGR00458	6.1.1.23
TIGR00459	6.1.1.-
TIGR00460	2.1.2.9
TIGR00461	1.4.4.2
TIGR00463	6.1.1.17
TIGR00464	6.1.1.17
TIGR00465	1.1.1.86
TIGR00466	2.7.7.38
TIGR00467	6.1.1.6
TIGR00468	6.1.1.20
TIGR00469	6.1.1.20
TIGR00470	6.1.1.27
TIGR00471	6.1.1.20
TIGR00472	6.1.1.20
TIGR00473	2.7.8.8
TIGR00474	2.9.1.1
TIGR00476	2.7.9.3
TIGR00479	2.1.1.-
TIGR00482	2.7.7.18
TIGR00492	5.1.1.1
TIGR00493	3.4.21.92
TIGR00497	2.1.1.72
TIGR00498	3.4.21.88
TIGR00499	6.1.1.6
TIGR00500	3.4.11.18
TIGR00501	3.4.11.18
TIGR00502	3.5.99.6
TIGR00504	3.4.19.3
TIGR00505	3.5.4.25
TIGR00506	4.1.99.12
TIGR00507	1.1.1.25
TIGR00508	2.6.1.62
TIGR00510	2.8.1.8
TIGR00511	5.3.1.-
TIGR00512	5.3.1.23
TIGR00513	6.4.1.2
TIGR00514	6.3.4.14
TIGR00515	6.4.1.2
TIGR00516	2.7.8.7
TIGR00518	1.4.1.1
TIGR00519	3.5.1.1
TIGR00520	3.5.1.1
TIGR00521	4.1.1.36
TIGR00521	6.3.2.5
TIGR00522	2.1.1.98
TIGR00525	4.1.2.25
TIGR00528	2.1.2.10
TIGR00530	2.3.1.51
TIGR00532	1.1.1.88
TIGR00533	1.1.1.34
TIGR00535	4.1.1.50
TIGR00538	1.3.99.22
TIGR00539	1.3.99.22
TIGR00541	4.1.1.22
TIGR00543	5.4.4.2
TIGR00544	2.4.99.-
TIGR00546	2.3.1.-
TIGR00549	2.7.1.36
TIGR00550	2.5.1.72
TIGR00551	1.4.3.16
TIGR00552	6.3.1.5
TIGR00553	2.6.1.85
TIGR00554	2.7.1.33
TIGR00555	2.7.1.33
TIGR00557	1.1.1.262
TIGR00558	1.4.3.5
TIGR00559	2.6.99.2
TIGR00560	2.7.8.5
TIGR00561	1.6.1.2
TIGR00562	1.3.3.4
TIGR00563	2.1.1.176
TIGR00564	4.1.3.27
TIGR00565	4.1.3.27
TIGR00567	3.2.2.-
TIGR00571	2.1.1.72
TIGR00573	2.7.7.7
TIGR00574	6.5.1.1
TIGR00575	6.5.1.2
TIGR00576	3.6.1.23
TIGR00577	3.2.2.23
TIGR00580	3.6.1.-
TIGR00584	3.2.2.-
TIGR00586	3.6.1.-
TIGR00588	3.2.2.-
TIGR00589	2.1.1.63
TIGR00591	4.1.99.3
TIGR00592	2.7.7.7
TIGR00593	2.7.7.7
TIGR00594	2.7.7.7
TIGR00595	3.6.1.-
TIGR00603	3.6.4.12
TIGR00604	3.6.4.-
TIGR00609	3.1.11.5
TIGR00612	1.17.7.1
TIGR00614	3.6.4.12
TIGR00624	3.2.2.20
TIGR00628	3.2.2.27
TIGR00629	3.-.-.-
TIGR00630	3.1.25.-
TIGR00631	3.1.25.-
TIGR00632	3.1.-.-
TIGR00633	3.1.11.2
TIGR00635	3.6.4.12
TIGR00636	2.5.1.17
TIGR00639	2.1.2.2
TIGR00641	5.4.99.-
TIGR00642	5.4.99.2
TIGR00643	3.6.4.12
TIGR00644	3.1.-.-
TIGR00648	3.1.-.-
TIGR00649	3.1.-.-
TIGR00651	2.3.1.8
TIGR00652	5.1.1.7
TIGR00653	6.3.1.2
TIGR00655	3.5.1.10
TIGR00656	2.7.2.4
TIGR00657	2.7.2.4
TIGR00658	2.1.3.3
TIGR00663	2.7.7.7
TIGR00664	2.7.7.7
TIGR00665	3.6.4.12
TIGR00666	3.4.16.4
TIGR00667	2.3.2.6
TIGR00668	3.6.1.41
TIGR00669	6.3.1.1
TIGR00670	2.1.3.2
TIGR00671	2.7.1.33
TIGR00672	3.6.1.26
TIGR00673	4.2.1.104
TIGR00674	4.3.3.7
TIGR00675	2.1.1.37
TIGR00676	1.5.1.20
TIGR00677	1.5.1.20
TIGR00678	2.7.7.7
TIGR00679	2.7.1.-
TIGR00680	3.6.3.12
TIGR00681	3.6.3.12
TIGR00682	2.7.1.130
TIGR00683	4.1.3.3
TIGR00685	3.1.3.12
TIGR00687	2.7.1.35
TIGR00689	5.3.1.-
TIGR00690	2.7.7.6
TIGR00692	1.1.1.103
TIGR00693	2.5.1.3
TIGR00694	2.7.1.50
TIGR00695	4.2.1.8
TIGR00696	2.4.1.-
TIGR00699	2.6.1.19
TIGR00700	2.6.1.19
TIGR00705	3.4.-.-
TIGR00706	3.4.-.-
TIGR00708	2.5.1.17
TIGR00709	2.6.1.-
TIGR00713	5.4.3.8
